variant,generator,target_quality,splits,adaptive_test_quality_mean,adaptive_test_quality_ci_low,adaptive_test_quality_ci_high,fixed_test_quality_mean,fixed_test_quality_ci_low,fixed_test_quality_ci_high,adaptive_target_error_pp_mean,adaptive_target_error_pp_ci_low,adaptive_target_error_pp_ci_high,fixed_target_error_pp_mean,fixed_target_error_pp_ci_low,fixed_target_error_pp_ci_high,adaptive_test_chars_mean,adaptive_test_chars_ci_low,adaptive_test_chars_ci_high,fixed_test_chars_mean,fixed_test_chars_ci_low,fixed_test_chars_ci_high,character_saving_vs_train_fixed_pct_mean,character_saving_vs_train_fixed_pct_ci_low,character_saving_vs_train_fixed_pct_ci_high
local_exp_open5_conf06,gemma2_9b,0.3,10,0.3436665356274494,0.336609387636959,0.3507236836179398,0.3057304440903048,0.2956655367563299,0.3157953514242797,4.366653562744939,3.6609387636959005,5.072368361793978,0.5730444090304837,-0.43344632436700736,1.5795351424279747,7596.00275,7096.445953542808,8095.559546457192,5357.76225,4715.180729859708,6000.343770140292,-44.31187789438632,-59.44988363823614,-29.173872150536504
local_exp_open5_conf06,gemma2_9b,0.35,10,0.3570564114843239,0.34273399955743705,0.3713788234112107,0.35199247414407997,0.3458235265051433,0.35816142178301663,0.7056411484323886,-0.7266000442562923,2.1378823411210695,0.1992474144080009,-0.41764734948566495,0.8161421783016667,8676.073999999999,7561.1419050203995,9791.006094979599,9863.723250000001,8826.347383241846,10901.099116758156,11.060557405401253,-0.7793804804069406,22.900495291209445
local_exp_open5_conf06,gemma2_9b,0.4,10,0.44305325534063156,0.4194793698686615,0.4666271408126016,0.40060580197370876,0.39254659201026654,0.408665011937151,4.305325534063152,1.94793698686615,6.6627140812601535,0.0605801973708759,-0.7453407989733485,0.8665011937151004,27561.87575,21664.76238254511,33458.98911745489,18691.27475,17145.14535844804,20237.40414155196,-50.52647712893848,-87.61544567163095,-13.437508586246011
local_exp_open5_conf06,gemma2_9b,0.45,10,0.4774472276218109,0.45241227398339545,0.5024821812602264,0.44844303932677876,0.4414763888458044,0.4554096898077531,2.7447227621810955,0.24122739833955098,5.24821812602264,-0.1556960673221264,-0.8523611154195575,0.5409689807753048,43095.57175,32036.38578902096,54154.75771097904,38706.095499999996,34231.39076881692,43180.80023118307,-17.21104015349379,-55.533134603879056,21.111054296891474
local_exp_open5_conf06,gemma2_9b,0.5,10,0.5229647065007368,0.5006934894071242,0.5452359235943494,0.4974122381667712,0.48838016412890917,0.5064443122046333,2.2964706500736765,0.06934894071241704,4.523592359434936,-0.25877618332288355,-1.161983587109087,0.6444312204633198,78946.1945,59553.32695187075,98339.06204812924,83617.0265,69679.69059411432,97554.3624058857,-1.8191226887621568,-36.44551252996155,32.807267152437234
local_exp_open5_conf06,gemma2_9b,0.55,10,0.5721891691150975,0.5512873000420776,0.5930910381881175,0.5524143393629937,0.5441246600832945,0.5607040186426928,2.2189169115097416,0.12873000420774527,4.309103818811738,0.24143393629936005,-0.5875339916705572,1.0704018642692774,183647.30175,136268.67490831623,231025.9285916838,211239.24675000002,182340.82215633694,240137.6713436631,8.335293044551088,-21.035210980067347,37.70579706916952
local_exp_open5_conf06,gemma2_9b,0.6,10,0.6140785367665337,0.6036044519165767,0.6245526216164906,0.6049886055901027,0.5980920918209558,0.6118851193592496,1.407853676653371,0.36044519165767386,2.4552621616490677,0.4988605590102823,-0.1907908179044065,1.1885119359249712,407851.86124999996,368106.16251131875,447597.55998868117,566817.8495000001,503556.7331744574,630078.9658255429,26.14143052293634,14.609211843260471,37.67364920261221
local_exp_open5_conf06,llama3.1_8b,0.3,10,0.316270280298364,0.30740527756917285,0.3251352830275552,0.3156254642880176,0.30776731108123434,0.3234836174948008,1.6270280298364,0.7405277569172855,2.5135283027555144,1.5625464288017603,0.7767311081234359,2.348361749480085,10840.719,10239.828446415735,11441.609553584263,12708.71275,11871.012328495599,13546.413171504402,14.501098160657738,11.493900257758959,17.508296063556518
local_exp_open5_conf06,llama3.1_8b,0.35,10,0.39854124012170195,0.37011204986570473,0.42697043037769916,0.3589916766083575,0.34960317779922634,0.3683801754174887,4.854124012170198,2.011204986570475,7.697043037769921,0.8991676608357464,-0.0396822200773711,1.8380175417488638,25065.009249999996,20123.87723250525,30006.141267494742,21654.5825,20244.45177937426,23064.71322062574,-16.729463148455086,-41.20462960035191,7.745703303441733
local_exp_open5_conf06,llama3.1_8b,0.4,10,0.4271217376093131,0.401341556409935,0.4529019188086912,0.4081985250300343,0.3987352413708546,0.417661808689214,2.712173760931308,0.13415564099349986,5.290191880869116,0.8198525030034182,-0.12647586291455326,1.7661808689213896,34536.231,25977.49234717368,43094.969652826316,39515.8065,36064.54930613503,42967.06369386497,12.480342846091009,-7.072702608147637,32.033388300329655
local_exp_open5_conf06,llama3.1_8b,0.45,10,0.4740476930967725,0.4629684816088746,0.48512690458467045,0.4556415497454063,0.44779451351611005,0.4634885859747026,2.404769309677248,1.296848160887453,3.5126904584670426,0.5641549745406345,-0.22054864838899157,1.3488585974702605,55721.262749999994,53706.64295420637,57735.88254579362,70717.336,64766.24012142939,76668.4318785706,20.30523776772082,13.451925873541471,27.158549661900167
local_exp_open5_conf06,llama3.1_8b,0.5,10,0.5242845915004232,0.5024839325344146,0.5460852504664317,0.49990347821414993,0.49431840289926504,0.5054885535290348,2.4284591500423067,0.2483932534414457,4.608525046643168,-0.009652178585013993,-0.568159710073502,0.548855352903474,100767.44725000001,89381.90996763589,112152.98453236413,127483.92025000001,116168.3717728432,138799.4687271568,19.08595027400873,6.257017427192141,31.914883120825323
local_exp_open5_conf06,llama3.1_8b,0.55,10,0.5644342258347056,0.534819446263602,0.5940490054058092,0.5478841827673955,0.5403037722029613,0.5554645933318296,1.4434225834705534,-1.5180553736398055,4.404900540580912,-0.21158172326045438,-0.9696227797038657,0.546459333182957,192002.06975,147868.06964901305,236136.06985098694,249496.56925,230063.92718855254,268929.21131144743,21.633695784893167,1.4603376769909957,41.80705389279534
local_exp_open5_conf06,llama3.1_8b,0.6,10,0.6032300294377434,0.5810554030184225,0.6254046558570643,0.5982822272223574,0.5891997346170024,0.6073647198277123,0.32300294377433636,-1.8944596981577493,2.540465585706422,-0.17177727776426788,-1.0800265382997618,0.7364719827712259,397327.34375,272886.12367451674,521768.56382548326,521121.09624999994,480685.6362539465,561556.5562460533,24.371276801022468,4.268953520595556,44.473600081449376
local_exp_open5_conf06,llama3.2_3b,0.3,10,0.3205582953706113,0.3121271147948182,0.32898947594640443,0.3179982441120866,0.30671178085230805,0.32928470737186516,2.0558295370611317,1.2127114794818181,2.898947594640445,1.7998244112086532,0.6711780852307978,2.9284707371865086,10254.7235,9810.252322931972,10699.194677068028,12193.5285,11033.230000352867,13353.826999647134,15.026721736781656,8.890918612931234,21.16252486063208
local_exp_open5_conf06,llama3.2_3b,0.35,10,0.39444467780113013,0.3665259067418853,0.42236344886037497,0.35999639264986494,0.34823355456769,0.37175923073203987,4.4444677801130155,1.6525906741885334,7.2363448860374975,0.9996392649864949,-0.1766445432309991,2.1759230732039887,24210.219,17993.283615214234,30427.15438478577,20778.536,18201.05460848555,23356.01739151445,-18.16779080401477,-48.915927711493275,12.580346103463732
local_exp_open5_conf06,llama3.2_3b,0.4,10,0.4336265134525593,0.4091492893111003,0.45810373759401835,0.407274068638229,0.3958976860646011,0.41865045121185696,3.362651345255929,0.9149289311100279,5.81037375940183,0.7274068638228998,-0.41023139353989657,1.865045121185696,37720.861,28032.359107499542,47409.36289250045,36333.312750000005,32826.510916098196,39840.11458390181,-4.131801719589065,-30.107269390516556,21.84366595133843
local_exp_open5_conf06,llama3.2_3b,0.45,10,0.4755811625268377,0.4662803642137638,0.4848819608399116,0.45695195374893266,0.44850181063289773,0.4654020968649676,2.5581162526837677,1.6280364213763787,3.4881960839911565,0.6951953748932611,-0.14981893671023028,1.5402096864967525,56615.95525,54370.7895401178,58861.120959882195,66035.51475,60552.53294427664,71518.49655572337,13.674438546903456,9.141474885846037,18.207402207960875
local_exp_open5_conf06,llama3.2_3b,0.5,10,0.5325673350717365,0.5228460015417573,0.5422886686017157,0.5003597883382565,0.4924085353118601,0.5083110413646528,3.256733507173653,2.2846001541757315,4.228866860171575,0.03597883382564617,-0.7591464688139891,0.8311041364652814,106258.352,103490.064703266,109026.63929673399,116164.51699999999,104147.76071723441,128181.27328276557,6.9203570736398206,-2.295289659287354,16.136003806566997
local_exp_open5_conf06,llama3.2_3b,0.55,10,0.5712421184485633,0.5429419274431179,0.5995423094540088,0.5475378845872849,0.5416158192664855,0.5534599499080843,2.124211844856329,-0.7058072556882111,4.9542309454008695,-0.24621154127150935,-0.8384180733514538,0.3459949908084351,205370.52,155270.23724532686,255470.80275467312,215457.94624999998,195112.85676294452,235803.03573705544,2.067461942465247,-25.02836898595832,29.163292870888814
local_exp_open5_conf06,llama3.2_3b,0.6,10,0.6072639860086845,0.5866566296552725,0.6278713423620964,0.5950660152767215,0.5856289407818416,0.6045030897716015,0.7263986008684498,-1.3343370344727483,2.787134236209648,-0.4933984723278451,-1.4371059218158386,0.45030897716014834,388528.34275000007,313208.96235469915,463847.723145301,430454.43500000006,395403.3077419411,465505.562258059,8.63783497030505,-11.215821655925232,28.491491596535333
local_exp_open5_conf06,mistral_7b,0.3,10,0.3135112026020894,0.30183975225211074,0.3251826529520681,0.31120254180907236,0.30395531881093535,0.3184497648072094,1.3511202602089463,0.18397522521107934,2.518265295206813,1.1202541809072346,0.395531881093535,1.8449764807209341,10603.89225,9525.276392422888,11682.508107577114,11088.860250000002,10259.574366877394,11918.14613312261,4.014683005735199,-5.545365006710924,13.574731018181321
local_exp_open5_conf06,mistral_7b,0.35,10,0.39709368562644143,0.3819922104295285,0.41219516082335433,0.3549865684559034,0.3490433213879874,0.36092981552381936,4.7093685626441415,3.1992210429528507,6.219516082335432,0.49865684559034396,-0.09566786120125659,1.0929815523819446,26464.147249999998,23024.847212099437,29903.44728790056,18300.964249999997,16719.14966531546,19882.778834684534,-46.33013280632015,-69.54449670652141,-23.115768906118888
local_exp_open5_conf06,mistral_7b,0.4,10,0.41988565522970056,0.39970193737802984,0.4400693730813713,0.40017326591193375,0.39355781860861566,0.40678871321525184,1.9885655229700536,-0.02980626219701832,4.006937308137125,0.01732659119336899,-0.6442181391384387,0.6788713215251767,35178.39225,26970.85894142369,43385.9255585763,32814.5885,29512.501100991954,36116.67589900804,-8.218765415002158,-32.761025834281156,16.323495004276843
local_exp_open5_conf06,mistral_7b,0.45,10,0.47844860353017404,0.46021042499071246,0.4966867820696356,0.4490736778676504,0.4426914194781268,0.455455936257174,2.8448603530173973,1.021042499071241,4.668678206963554,-0.09263221323496218,-0.730858052187323,0.5455936257173987,68764.26999999999,53955.70517491909,83572.83482508089,60457.34025000001,54661.01860409327,66253.66189590676,-15.264672306910873,-40.63041064556856,10.101066031746816
local_exp_open5_conf06,mistral_7b,0.5,10,0.5290399230246873,0.5053969491849069,0.5526828968644677,0.4997752748156959,0.4951842119479215,0.5043663376834703,2.903992302468735,0.5396949184906976,5.2682896864467725,-0.02247251843040754,-0.4815788052078437,0.4366337683470286,145378.06125,96331.00254767801,194425.11995232198,118128.3665,107967.75759479543,128288.97540520458,-28.981124569321643,-80.70125161934058,22.739002480697295
local_exp_open5_conf06,mistral_7b,0.55,10,0.5649142160611238,0.5618320908198843,0.5679963413023633,0.5502703668962272,0.5463138471902962,0.5542268866021582,1.4914216061123764,1.1832090819884264,1.7996341302363263,0.027036689622731425,-0.3686152809703758,0.4226886602158387,222183.40350000001,215900.5827964997,228466.22420350034,244575.50724999997,223598.42868308994,265552.58581691,7.842749371646707,-1.3137238147375703,16.999222558030983
local_exp_open5_conf06,mistral_7b,0.6,10,0.6262296499845179,0.6089697355821729,0.6434895643868629,0.6022083062282484,0.5950719578786826,0.6093446545778142,2.6229649984517933,0.8969735582172949,4.348956438686292,0.22083062282483468,-0.4928042121317452,0.9344654577814145,749499.7102499999,552895.1145086479,946104.3059913518,570353.5765000001,500638.6662197921,640068.4867802081,-33.121357798729356,-68.04153908596271,1.7988234885040058
local_exp_open5_conf06,qwen2.5_7b,0.3,10,0.31130406296691576,0.3045838620425835,0.31802426389124805,0.3036246545719882,0.2945195627626274,0.3127297463813489,1.130406296691575,0.45838620425834886,1.8024263891248014,0.36246545719882006,-0.5480437237372529,1.272974638134893,11023.289999999999,10250.001058808126,11796.578941191872,11302.72725,10107.94530149003,12497.50919850997,1.507731546544207,-5.1099068637783835,8.125369956866798
local_exp_open5_conf06,qwen2.5_7b,0.35,10,0.3732357706643721,0.34553903547688636,0.4009325058518578,0.35632295044321355,0.3431718678941242,0.3694740329923029,2.3235770664372097,-0.44609645231135975,5.093250585185779,0.6322950443213575,-0.6828132105875773,1.9474032992302923,20531.27775,15104.191597676441,25958.36390232356,21582.054750000003,18469.960076506926,24694.14942349308,3.081525352242714,-23.463135131035976,29.626185835521404
local_exp_open5_conf06,qwen2.5_7b,0.4,10,0.4320442412477883,0.4004209046340687,0.46366757786150786,0.405496288577966,0.3926426454354149,0.4183499317205171,3.2044241247788277,0.04209046340686973,6.366757786150785,0.5496288577965986,-0.7357354564585132,1.8349931720517105,40814.56850000001,29812.179123012887,51816.95787698713,39999.7135,34026.99763210932,45972.429367890676,-8.589383941643758,-46.48642526124279,29.307657377955273
