grid,divisor,splits,adaptive_utility_mean,adaptive_utility_ci_low,adaptive_utility_ci_high,adaptive_utility_std,fixed_utility_mean,fixed_utility_ci_low,fixed_utility_ci_high,fixed_utility_std,utility_gap_mean,utility_gap_ci_low,utility_gap_ci_high,utility_gap_std,relative_utility_gain_pct_mean,relative_utility_gain_pct_ci_low,relative_utility_gain_pct_ci_high,relative_utility_gain_pct_std,adaptive_accuracy_mean,adaptive_accuracy_ci_low,adaptive_accuracy_ci_high,adaptive_accuracy_std,adaptive_chars_mean,adaptive_chars_ci_low,adaptive_chars_ci_high,adaptive_chars_std,adaptive_opens_mean,adaptive_opens_ci_low,adaptive_opens_ci_high,adaptive_opens_std,positive_gap_splits
exp_tail_current,100000.0,5,0.19451020238095237,0.09988791475181855,0.28913249001008623,0.07620603300572285,0.21493389285714284,0.1282965587486241,0.3015712269656616,0.06977518413504091,-0.020423690476190474,-0.05780769940336079,0.016960318450979842,0.03010799135776778,-10.420046396260895,-26.847288190714472,6.00719539819268,13.230021824114912,0.26428571428571423,0.17752573970869417,0.3510456888627343,0.0698739551944247,6977.551190476191,2795.0921364325504,11160.010244519832,3368.4306383161115,15.701190476190476,2.8715827661011417,28.53079818627981,10.332592173606635,1
exp_tail_current,200000.0,5,0.2367495476190476,0.1373160475536035,0.3361830476844917,0.08008084329519756,0.23349812499999997,0.1374308197705142,0.32956543022948576,0.07736980807083094,0.003251422619047628,-0.00919660324026206,0.015699448478357317,0.010025277270918261,0.9469707787467344,-5.788017830842071,7.681959388335539,5.424163557397075,0.27261904761904765,0.17705094937722501,0.3681871458608703,0.07696776131068864,7173.9,4310.794949580547,10037.005050419451,2305.8613719664286,14.388095238095236,7.364137478275602,21.41205299791487,5.656890889951504,3
exp_tail_current,300000.0,5,0.2470419642857143,0.16770863702599548,0.3263752915454331,0.06389274986992075,0.2552228333333334,0.17235345154559337,0.33809221512107346,0.066740585140281,-0.008180869047619072,-0.032388386446759315,0.016026648351521174,0.019496029065962865,-2.9305877761203467,-13.032417611313722,7.1712420590730295,8.135719365147937,0.28690476190476194,0.2110989196867784,0.3627106041227455,0.06105181621408611,11958.839285714286,6418.1045577645755,17499.574013663998,4462.346283668639,26.995238095238097,11.176393871312047,42.81408231916414,12.740036150528773,1
exp_tail_current,400000.0,5,0.25767981547619045,0.17019836510416358,0.3451612658482173,0.070455010774719,0.2631174523809524,0.17707197641170208,0.34916292835020274,0.06929851883740432,-0.0054376369047619225,-0.029765001949260746,0.018889728139736897,0.019592550866975013,-2.2170858866179124,-13.304531748427625,8.8703599751918,8.929505790495023,0.2880952380952381,0.20228487228107245,0.3739056039094038,0.06910916796999997,12166.169047619047,6689.813241635808,17642.524853602285,4410.497376025666,26.757142857142856,12.564378663834074,40.94990705045164,11.430438680545258,2
exp_tail_current,500000.0,5,0.2650755047619047,0.17972201501997515,0.3504289945038343,0.06874121329554937,0.26924972380952383,0.17977703179242072,0.35872241582662695,0.0720586987675712,-0.00417421904761906,-0.024733136279055032,0.016384698183816916,0.016557552817168933,-1.3880956183048458,-9.833136482112364,7.056945245502673,6.801389809178988,0.2916666666666667,0.20500118473838833,0.378332148594945,0.06979785356880104,13295.580952380953,6326.206715559398,20264.95518920251,5612.930911183463,28.958333333333336,10.246034611194535,47.67063205547214,15.070340083314557,2
exp_tail_current,600000.0,5,0.2728004900793651,0.18779488485350093,0.3578060953052292,0.06846103724424345,0.27380743452380957,0.19288441047274865,0.3547304585748705,0.06517304533926012,-0.0010069444444444687,-0.018418280813875042,0.016404391924986102,0.014022582916649302,-0.5160621227281795,-7.8018885429006035,6.769764297444245,5.8677922777114935,0.30476190476190473,0.21850708716909872,0.39101672235471074,0.06946711648045312,19176.848809523806,5398.131660132327,32955.565958915286,11096.97725739352,42.22500000000001,7.353765328876726,77.09623467112328,28.084276198367085,2
exp_tail_current,700000.0,5,0.27562605102040816,0.18520068115248722,0.3660514208883291,0.07282595774600337,0.27628547789115643,0.19590738399591898,0.35666357178639385,0.06473417447193065,-0.0006594268707482975,-0.02476895894664314,0.023450105205146544,0.019417114542076248,-0.6511357997017505,-11.039830937656923,9.737559338253423,8.366752320260419,0.3059523809523809,0.22256333423429958,0.38934142767046226,0.0671591081312778,21228.430952380957,9968.777306229711,32488.0845985322,9068.196921582543,44.88690476190476,26.874256259932384,62.89955326387714,14.50686218496318,3
exp_tail_current,800000.0,5,0.28638898958333336,0.19506627697614362,0.3777117021905231,0.07354865143815112,0.2789539315476191,0.19342412998623643,0.3644837331090018,0.06888320969691733,0.007435058035714282,-0.01379163321317745,0.028661749284606013,0.017095358550782685,2.5702015049884332,-6.41539514308358,11.555798153060447,7.236737685131324,0.3154761904761905,0.23570285153546983,0.3952495294169112,0.06424712245512769,23269.760714285712,9794.594496314565,36744.92693225686,10852.506183206415,45.519047619047626,22.77488387440706,68.26321136368819,18.3174866771873,3
exp_tail_current,900000.0,5,0.2896406944444444,0.19772657004056154,0.38155481884832726,0.07402495726448471,0.284701537037037,0.20015102986720276,0.3692520442068712,0.06809451453223098,0.004939157407407418,-0.01791166820969682,0.027789983024511654,0.01840338904096524,1.5974849435109642,-7.663471461029153,10.85844134805108,7.458504408549617,0.31904761904761897,0.23985845629033653,0.3982367818049014,0.06377664398085177,26466.23214285714,-2122.439205594259,55054.90349130854,23024.48278262783,52.62380952380953,2.1426139290739883,103.10500511854507,40.65608382602979,3
exp_tail_current,1000000.0,5,0.2871779226190476,0.19224174115926007,0.38211410407883517,0.07645883394954323,0.29239930595238095,0.20477923664580783,0.3800193752589541,0.07056665042501634,-0.005221383333333318,-0.0338004313587037,0.023357664692037063,0.023016732438658014,-1.9329240261215859,-13.192383360543587,9.326535308300414,9.068040428578376,0.3238095238095238,0.2468948795684116,0.40072416805063604,0.06194481305117949,36631.60119047619,-6594.903975535337,79858.10635648773,34813.36756847629,73.82738095238095,-0.39814999177836796,148.05291189654025,59.77907956704603,3
