split,grid,divisor,config_id,grid_config_id,family,calibration,confidence_scale,reward_prior_strength,cost_prior_strength,cap_factor,tail_quantile,tail_decay,train_accuracy,train_chars,train_utility,profile_robust_utility,selection_score,fixed_n
61,exp_tail_uncapped_decay,400000.0,265,13,shifted_exponential,bounded_identity,0.0,20.0,10.0,,0.5,0.25,0.2865853658536585,14604.384146341463,0.25007440548780485,,0.25007440548780485,28
61,exp_tail_current,500000.0,6,6,shifted_exponential,bounded_identity,0.0,5.0,0.0,,0.5,0.0,0.2682926829268293,11199.048780487805,0.24589458536585368,,0.24589458536585368,34
61,exp_tail_uncapped_decay,500000.0,257,5,shifted_exponential,bounded_identity,0.0,5.0,10.0,,0.5,0.25,0.2682926829268293,8384.164634146342,0.2515243536585366,,0.2515243536585366,34
61,exp_tail_current,600000.0,13,13,shifted_exponential,bounded_identity,0.0,5.0,10.0,,0.5,0.0,0.27439024390243905,12846.048780487805,0.25298016260162604,,0.25298016260162604,41
61,exp_tail_uncapped_decay,600000.0,253,1,shifted_exponential,bounded_identity,0.0,5.0,0.0,,0.5,0.25,0.2682926829268293,9175.94512195122,0.2529994410569106,,0.2529994410569106,41
61,exp_tail_current,700000.0,13,13,shifted_exponential,bounded_identity,0.0,5.0,10.0,,0.5,0.0,0.2682926829268293,14312.463414634147,0.24784630662020907,,0.24784630662020907,48
61,exp_tail_uncapped_decay,700000.0,306,54,shifted_exponential,bounded_identity,0.8,5.0,10.0,,0.5,0.5,0.29878048780487804,22976.823170731706,0.2659564547038327,,0.2659564547038327,48
61,exp_tail_current,800000.0,12,12,shifted_exponential,bounded_identity,0.0,5.0,10.0,2.0,0.5,0.0,0.2682926829268293,15296.573170731708,0.24917196646341466,,0.24917196646341466,57
61,exp_tail_uncapped_decay,800000.0,306,54,shifted_exponential,bounded_identity,0.8,5.0,10.0,,0.5,0.5,0.3048780487804878,28391.55487804878,0.26938860518292684,,0.26938860518292684,57
61,exp_tail_current,900000.0,5,5,shifted_exponential,bounded_identity,0.0,5.0,0.0,2.0,0.5,0.0,0.2621951219512195,15940.69512195122,0.24448323848238485,,0.24448323848238485,67
61,exp_tail_uncapped_decay,900000.0,306,54,shifted_exponential,bounded_identity,0.8,5.0,10.0,,0.5,0.5,0.29878048780487804,30868.14024390244,0.264482554200542,,0.264482554200542,67
61,exp_tail_current,1000000.0,11,11,shifted_exponential,bounded_identity,0.0,5.0,10.0,1.5,0.5,0.0,0.2621951219512195,16862.036585365855,0.24533308536585366,,0.24533308536585366,78
61,exp_tail_uncapped_decay,1000000.0,281,29,shifted_exponential,bounded_identity,0.2,5.0,10.0,,0.5,0.25,0.2865853658536585,20596.89024390244,0.2659884756097561,,0.2659884756097561,78
62,exp_tail_current,100000.0,208,208,shifted_exponential,bounded_identity,0.2,1000000.0,10.0,2.0,0.75,0.0,0.3475609756097561,5938.298780487805,0.288177987804878,,0.288177987804878,12
62,exp_tail_uncapped_decay,100000.0,359,107,shifted_exponential,bounded_identity,0.2,20.0,0.0,,0.75,1.0,0.3170731707317073,3434.6585365853657,0.28272658536585366,,0.28272658536585366,12
62,exp_tail_current,200000.0,157,157,shifted_exponential,bounded_identity,0.0,1000000.0,0.0,1.3,0.75,0.0,0.35365853658536583,7087.0609756097565,0.31822323170731703,,0.31822323170731703,21
62,exp_tail_uncapped_decay,200000.0,270,18,shifted_exponential,bounded_identity,0.0,1000000.0,0.0,,0.5,0.5,0.3780487804878049,14287.042682926829,0.3066135670731707,,0.3066135670731707,21
62,exp_tail_current,300000.0,35,35,shifted_exponential,bounded_identity,0.0,1000000.0,10.0,1.0,0.5,0.0,0.36585365853658536,9631.951219512195,0.3337471544715447,,0.3337471544715447,30
62,exp_tail_uncapped_decay,300000.0,370,118,shifted_exponential,bounded_identity,0.2,1000000.0,10.0,,0.75,0.5,0.38414634146341464,16664.524390243903,0.3285979268292683,,0.3285979268292683,30
62,exp_tail_current,400000.0,22,22,shifted_exponential,bounded_identity,0.0,20.0,10.0,1.1,0.5,0.0,0.3719512195121951,12226.780487804877,0.3413842682926829,,0.3413842682926829,38
62,exp_tail_uncapped_decay,400000.0,346,94,shifted_exponential,bounded_identity,0.0,1000000.0,10.0,,0.75,0.5,0.3780487804878049,16590.256097560974,0.33657314024390245,,0.33657314024390245,38
62,exp_tail_current,500000.0,21,21,shifted_exponential,bounded_identity,0.0,20.0,10.0,1.0,0.5,0.0,0.3719512195121951,13653.012195121952,0.34464519512195124,,0.34464519512195124,47
62,exp_tail_uncapped_decay,500000.0,346,94,shifted_exponential,bounded_identity,0.0,1000000.0,10.0,,0.75,0.5,0.39634146341463417,19558.548780487807,0.3572243658536586,,0.3572243658536586,47
62,exp_tail_current,600000.0,91,91,shifted_exponential,bounded_identity,0.8,5.0,10.0,1.0,0.5,0.0,0.3780487804878049,19224.475609756097,0.34600798780487807,,0.34600798780487807,55
62,exp_tail_uncapped_decay,600000.0,346,94,shifted_exponential,bounded_identity,0.0,1000000.0,10.0,,0.75,0.5,0.39634146341463417,23003.603658536584,0.3580021239837399,,0.3580021239837399,55
62,exp_tail_current,700000.0,157,157,shifted_exponential,bounded_identity,0.0,1000000.0,0.0,1.3,0.75,0.0,0.38414634146341464,27717.396341463416,0.34455006097560975,,0.34455006097560975,64
62,exp_tail_uncapped_decay,700000.0,370,118,shifted_exponential,bounded_identity,0.2,1000000.0,10.0,,0.75,0.5,0.40853658536585363,31793.14024390244,0.36311781358885015,,0.36311781358885015,64
62,exp_tail_current,800000.0,100,100,shifted_exponential,bounded_identity,0.8,20.0,0.0,1.2,0.5,0.0,0.3902439024390244,31899.689024390245,0.3503692911585366,,0.3503692911585366,74
62,exp_tail_uncapped_decay,800000.0,346,94,shifted_exponential,bounded_identity,0.0,1000000.0,10.0,,0.75,0.5,0.4024390243902439,29135.213414634145,0.36602000762195125,,0.36602000762195125,74
62,exp_tail_current,900000.0,103,103,shifted_exponential,bounded_identity,0.8,20.0,0.0,2.0,0.5,0.0,0.4146341463414634,50484.96341463415,0.35853974254742543,,0.35853974254742543,85
62,exp_tail_uncapped_decay,900000.0,394,142,shifted_exponential,bounded_identity,0.8,1000000.0,10.0,,0.75,0.5,0.43902439024390244,57473.34756097561,0.37516511517615175,,0.37516511517615175,85
62,exp_tail_current,1000000.0,82,82,shifted_exponential,bounded_identity,0.2,1000000.0,10.0,2.0,0.5,0.0,0.4573170731707317,70856.9512195122,0.38646012195121954,,0.38646012195121954,98
62,exp_tail_uncapped_decay,1000000.0,370,118,shifted_exponential,bounded_identity,0.2,1000000.0,10.0,,0.75,0.5,0.42073170731707316,41620.12195121951,0.37911158536585365,,0.37911158536585365,98
63,exp_tail_current,100000.0,132,132,shifted_exponential,bounded_identity,0.0,5.0,0.0,,0.75,0.0,0.25609756097560976,3483.640243902439,0.22126115853658537,,0.22126115853658537,8
63,exp_tail_uncapped_decay,100000.0,358,106,shifted_exponential,bounded_identity,0.2,20.0,0.0,,0.75,0.5,0.2621951219512195,4024.9756097560976,0.22194536585365854,,0.22194536585365854,8
63,exp_tail_current,200000.0,138,138,shifted_exponential,bounded_identity,0.0,5.0,10.0,2.0,0.75,0.0,0.27439024390243905,3878.1341463414633,0.25499957317073174,,0.25499957317073174,14
63,exp_tail_uncapped_decay,200000.0,328,76,shifted_exponential,bounded_identity,0.0,5.0,10.0,,0.75,0.0,0.27439024390243905,3945.189024390244,0.25466429878048785,,0.25466429878048785,14
63,exp_tail_current,300000.0,144,144,shifted_exponential,bounded_identity,0.0,20.0,0.0,1.5,0.75,0.0,0.2804878048780488,5346.3536585365855,0.2626666260162602,,0.2626666260162602,19
63,exp_tail_uncapped_decay,300000.0,329,77,shifted_exponential,bounded_identity,0.0,5.0,10.0,,0.75,0.25,0.27439024390243905,4013.7256097560976,0.2610111585365854,,0.2610111585365854,19
63,exp_tail_current,400000.0,143,143,shifted_exponential,bounded_identity,0.0,20.0,0.0,1.3,0.75,0.0,0.2865853658536585,5635.963414634146,0.27249545731707314,,0.27249545731707314,24
63,exp_tail_uncapped_decay,400000.0,369,117,shifted_exponential,bounded_identity,0.2,1000000.0,10.0,,0.75,0.25,0.29878048780487804,13680.207317073171,0.2645799695121951,,0.2645799695121951,24
63,exp_tail_current,500000.0,141,141,shifted_exponential,bounded_identity,0.0,20.0,0.0,1.1,0.75,0.0,0.2865853658536585,5722.731707317073,0.27513990243902436,,0.27513990243902436,29
63,exp_tail_uncapped_decay,500000.0,341,89,shifted_exponential,bounded_identity,0.0,1000000.0,0.0,,0.75,0.25,0.29878048780487804,13686.018292682927,0.2714084512195122,,0.2714084512195122,29
63,exp_tail_current,600000.0,140,140,shifted_exponential,bounded_identity,0.0,20.0,0.0,1.0,0.75,0.0,0.2865853658536585,5946.329268292683,0.2766748170731707,,0.2766748170731707,34
63,exp_tail_uncapped_decay,600000.0,341,89,shifted_exponential,bounded_identity,0.0,1000000.0,0.0,,0.75,0.25,0.29878048780487804,14906.896341463415,0.2739356605691057,,0.2739356605691057,34
63,exp_tail_current,700000.0,28,28,shifted_exponential,bounded_identity,0.0,1000000.0,0.0,1.0,0.5,0.0,0.2926829268292683,14374.731707317073,0.2721475958188153,,0.2721475958188153,40
63,exp_tail_uncapped_decay,700000.0,274,22,shifted_exponential,bounded_identity,0.0,1000000.0,10.0,,0.5,0.5,0.3048780487804878,18104.018292682926,0.2790151655052265,,0.2790151655052265,40
63,exp_tail_current,800000.0,167,167,shifted_exponential,bounded_identity,0.0,1000000.0,10.0,,0.75,0.0,0.3048780487804878,24480.75,0.2742771112804878,,0.2742771112804878,45
63,exp_tail_uncapped_decay,800000.0,370,118,shifted_exponential,bounded_identity,0.2,1000000.0,10.0,,0.75,0.5,0.29878048780487804,13883.268292682927,0.2814264024390244,,0.2814264024390244,45
63,exp_tail_current,900000.0,166,166,shifted_exponential,bounded_identity,0.0,1000000.0,10.0,2.0,0.75,0.0,0.2926829268292683,11403.926829268292,0.28001189701897017,,0.28001189701897017,50
63,exp_tail_uncapped_decay,900000.0,370,118,shifted_exponential,bounded_identity,0.2,1000000.0,10.0,,0.75,0.5,0.29878048780487804,14268.012195121952,0.2829271409214092,,0.2829271409214092,50
63,exp_tail_current,1000000.0,201,201,shifted_exponential,bounded_identity,0.2,1000000.0,0.0,2.0,0.75,0.0,0.3048780487804878,17768.060975609755,0.28710998780487806,,0.28710998780487806,56
63,exp_tail_uncapped_decay,1000000.0,390,138,shifted_exponential,bounded_identity,0.8,1000000.0,0.0,,0.75,0.5,0.31097560975609756,22657.14024390244,0.28831846951219514,,0.28831846951219514,56
64,exp_tail_current,100000.0,174,174,shifted_exponential,bounded_identity,0.2,5.0,0.0,,0.75,0.0,0.38414634146341464,4796.719512195122,0.3361791463414634,,0.3361791463414634,10
64,exp_tail_uncapped_decay,100000.0,349,97,shifted_exponential,bounded_identity,0.2,5.0,0.0,,0.75,0.25,0.38414634146341464,4051.6036585365855,0.3436303048780488,,0.3436303048780488,10
64,exp_tail_current,200000.0,47,47,shifted_exponential,bounded_identity,0.2,5.0,0.0,2.0,0.5,0.0,0.4146341463414634,11057.298780487805,0.3593476524390244,,0.3593476524390244,18
64,exp_tail_uncapped_decay,200000.0,375,123,shifted_exponential,bounded_identity,0.8,5.0,0.0,,0.75,1.0,0.39634146341463417,5893.878048780488,0.3668720731707317,,0.3668720731707317,18
64,exp_tail_current,300000.0,47,47,shifted_exponential,bounded_identity,0.2,5.0,0.0,2.0,0.5,0.0,0.4329268292682927,14869.207317073171,0.38336280487804875,,0.38336280487804875,23
64,exp_tail_uncapped_decay,300000.0,303,51,shifted_exponential,bounded_identity,0.8,5.0,0.0,,0.5,1.0,0.4146341463414634,10214.878048780487,0.38058455284552845,,0.38058455284552845,23
64,exp_tail_current,400000.0,4,4,shifted_exponential,bounded_identity,0.0,5.0,0.0,1.5,0.5,0.0,0.42073170731707316,12808.487804878048,0.38871048780487805,,0.38871048780487805,28
64,exp_tail_uncapped_decay,400000.0,307,55,shifted_exponential,bounded_identity,0.8,5.0,10.0,,0.5,1.0,0.42073170731707316,12079.378048780487,0.39053326219512197,,0.39053326219512197,28
64,exp_tail_current,500000.0,4,4,shifted_exponential,bounded_identity,0.0,5.0,0.0,1.5,0.5,0.0,0.4329268292682927,14902.176829268292,0.4031224756097561,,0.4031224756097561,32
64,exp_tail_uncapped_decay,500000.0,303,51,shifted_exponential,bounded_identity,0.8,5.0,0.0,,0.5,1.0,0.42073170731707316,13427.390243902439,0.3938769268292683,,0.3938769268292683,32
64,exp_tail_current,600000.0,3,3,shifted_exponential,bounded_identity,0.0,5.0,0.0,1.3,0.5,0.0,0.4268292682926829,15661.591463414634,0.40072661585365854,,0.40072661585365854,36
64,exp_tail_uncapped_decay,600000.0,303,51,shifted_exponential,bounded_identity,0.8,5.0,0.0,,0.5,1.0,0.4268292682926829,14863.0,0.4020576016260162,,0.4020576016260162,36
64,exp_tail_current,700000.0,2,2,shifted_exponential,bounded_identity,0.0,5.0,0.0,1.2,0.5,0.0,0.4268292682926829,16196.884146341463,0.403690862369338,,0.403690862369338,40
64,exp_tail_uncapped_decay,700000.0,254,2,shifted_exponential,bounded_identity,0.0,5.0,0.0,,0.5,0.5,0.43902439024390244,28876.073170731706,0.39777285714285715,,0.39777285714285715,40
64,exp_tail_current,800000.0,8,8,shifted_exponential,bounded_identity,0.0,5.0,10.0,1.1,0.5,0.0,0.4268292682926829,16847.451219512193,0.40576995426829265,,0.40576995426829265,43
64,exp_tail_uncapped_decay,800000.0,287,35,shifted_exponential,bounded_identity,0.2,20.0,0.0,,0.5,1.0,0.42073170731707316,13101.55487804878,0.4043547637195122,,0.4043547637195122,43
64,exp_tail_current,900000.0,0,0,shifted_exponential,bounded_identity,0.0,5.0,0.0,1.0,0.5,0.0,0.4268292682926829,16866.506097560974,0.4080887059620596,,0.4080887059620596,46
64,exp_tail_uncapped_decay,900000.0,263,11,shifted_exponential,bounded_identity,0.0,20.0,0.0,,0.5,1.0,0.4146341463414634,11901.176829268292,0.4014106165311653,,0.4014106165311653,46
64,exp_tail_current,1000000.0,0,0,shifted_exponential,bounded_identity,0.0,5.0,0.0,1.0,0.5,0.0,0.4268292682926829,17884.94512195122,0.4089443231707317,,0.4089443231707317,49
64,exp_tail_uncapped_decay,1000000.0,303,51,shifted_exponential,bounded_identity,0.8,5.0,0.0,,0.5,1.0,0.4268292682926829,20750.317073170732,0.4060789512195122,,0.4060789512195122,49
