split,grid,grid_config_id,divisor,train_utility,test_utility,test_accuracy,test_chars,test_opens,family,calibration,confidence_scale,reward_prior_strength,cost_prior_strength,cap_factor,tail_quantile,tail_decay
60,exp_tail_current,0,100000.0,0.22100902439024392,0.2609168452380952,0.2916666666666667,3074.9821428571427,6.880952380952381,shifted_exponential,bounded_identity,0.0,5.0,0.0,1.0,0.5,0.0
60,exp_tail_current,0,200000.0,0.2557020426829268,0.25926592261904763,0.2857142857142857,5289.672619047619,11.470238095238095,shifted_exponential,bounded_identity,0.0,5.0,0.0,1.0,0.5,0.0
60,exp_tail_current,0,300000.0,0.28467813008130083,0.26294156746031744,0.2857142857142857,6831.815476190476,14.952380952380953,shifted_exponential,bounded_identity,0.0,5.0,0.0,1.0,0.5,0.0
60,exp_tail_current,0,400000.0,0.2946548932926829,0.26438489583333336,0.2857142857142857,8531.755952380952,18.285714285714285,shifted_exponential,bounded_identity,0.0,5.0,0.0,1.0,0.5,0.0
60,exp_tail_current,0,500000.0,0.30244414634146344,0.2719446428571428,0.2916666666666667,9861.011904761905,21.488095238095237,shifted_exponential,bounded_identity,0.0,5.0,0.0,1.0,0.5,0.0
60,exp_tail_current,0,600000.0,0.3161190142276423,0.27296660714285714,0.2916666666666667,11220.035714285714,24.5,shifted_exponential,bounded_identity,0.0,5.0,0.0,1.0,0.5,0.0
60,exp_tail_current,0,700000.0,0.3041446777003484,0.2734896003401361,0.2916666666666667,12723.94642857143,28.36904761904762,shifted_exponential,bounded_identity,0.0,5.0,0.0,1.0,0.5,0.0
60,exp_tail_current,0,800000.0,0.3110606631097561,0.2682011160714286,0.2857142857142857,14010.535714285714,31.553571428571427,shifted_exponential,bounded_identity,0.0,5.0,0.0,1.0,0.5,0.0
60,exp_tail_current,0,900000.0,0.31205617886178866,0.2744302380952381,0.2916666666666667,15512.785714285714,35.083333333333336,shifted_exponential,bounded_identity,0.0,5.0,0.0,1.0,0.5,0.0
60,exp_tail_current,0,1000000.0,0.32372758536585367,0.2748312380952381,0.2916666666666667,16835.428571428572,38.220238095238095,shifted_exponential,bounded_identity,0.0,5.0,0.0,1.0,0.5,0.0
60,exp_tail_current,1,100000.0,0.2177458536585366,0.2588552380952381,0.2916666666666667,3281.1428571428573,7.5,shifted_exponential,bounded_identity,0.0,5.0,0.0,1.1,0.5,0.0
60,exp_tail_current,1,200000.0,0.2547064634146341,0.25777553571428574,0.2857142857142857,5587.75,12.178571428571429,shifted_exponential,bounded_identity,0.0,5.0,0.0,1.1,0.5,0.0
60,exp_tail_current,1,300000.0,0.2841057520325203,0.25596196428571427,0.27976190476190477,7139.982142857143,15.726190476190476,shifted_exponential,bounded_identity,0.0,5.0,0.0,1.1,0.5,0.0
60,exp_tail_current,1,400000.0,0.294200625,0.2636316964285714,0.2857142857142857,8833.035714285714,19.06547619047619,shifted_exponential,bounded_identity,0.0,5.0,0.0,1.1,0.5,0.0
60,exp_tail_current,1,500000.0,0.30190939024390245,0.27112342857142857,0.2916666666666667,10271.619047619048,22.446428571428573,shifted_exponential,bounded_identity,0.0,5.0,0.0,1.1,0.5,0.0
60,exp_tail_current,1,600000.0,0.3096747052845529,0.2722480158730159,0.2916666666666667,11651.190476190477,25.607142857142858,shifted_exponential,bounded_identity,0.0,5.0,0.0,1.1,0.5,0.0
60,exp_tail_current,1,700000.0,0.30979330139372824,0.2726569387755102,0.2916666666666667,13306.809523809523,29.827380952380953,shifted_exponential,bounded_identity,0.0,5.0,0.0,1.1,0.5,0.0
