grid,grid_config_id,divisor,splits,family,calibration,confidence_scale,reward_prior_strength,cost_prior_strength,cap_factor,tail_quantile,tail_decay,train_utility_mean,train_utility_ci_low,train_utility_ci_high,train_utility_std,test_utility_mean,test_utility_ci_low,test_utility_ci_high,test_utility_std,test_accuracy_mean,test_accuracy_ci_low,test_accuracy_ci_high,test_accuracy_std,test_chars_mean,test_chars_ci_low,test_chars_ci_high,test_chars_std,test_opens_mean,test_opens_ci_low,test_opens_ci_high,test_opens_std
exp_tail_current,0,100000.0,5,shifted_exponential,bounded_identity,0.0,5.0,0.0,1.0,0.5,0.0,0.22390598780487805,0.13826211670540012,0.309549858904356,0.06897507797872326,0.22221534523809522,0.14237470916319922,0.3020559813129912,0.06430132160584211,0.25476190476190474,0.17968010819255203,0.32984370133125746,0.06046869094857284,3254.6559523809524,2697.30068008736,3812.011224674545,448.8776940459597,6.253571428571428,4.982627636138423,7.5245152210044335,1.023581093010346
exp_tail_current,0,200000.0,5,shifted_exponential,bounded_identity,0.0,5.0,0.0,1.0,0.5,0.0,0.2663227256097561,0.20338639976320633,0.3292590514563059,0.05068708276763742,0.2403484523809524,0.14624126684105399,0.3344556379208508,0.07579118479398392,0.26666666666666666,0.17563602633186814,0.3576973070014652,0.07331342494143886,5263.642857142857,4034.0943766501173,6493.191337635597,990.2425151018703,10.410714285714286,7.45702871636835,13.364399855060224,2.378812282242897
exp_tail_current,0,300000.0,5,shifted_exponential,bounded_identity,0.0,5.0,0.0,1.0,0.5,0.0,0.2793179918699187,0.20989870008883435,0.348737283651003,0.055908274606905554,0.2516218174603174,0.16186158855616808,0.3413820463644668,0.07229027259709528,0.275,0.1901820650050835,0.35981793499491654,0.06830989310926082,7013.454761904762,4723.040749858874,9303.86877395065,1844.6326988293804,13.982142857142858,9.680086237465927,18.284199476819786,3.464751032405257
exp_tail_current,0,400000.0,5,shifted_exponential,bounded_identity,0.0,5.0,0.0,1.0,0.5,0.0,0.2909466768292683,0.22321000355613357,0.358683350102403,0.054553142694903786,0.2637213958333333,0.17278397317327215,0.3546588184933945,0.07323835014272342,0.2857142857142857,0.2001589289805167,0.3712696424480547,0.06890379108803706,8797.155952380952,5622.24149260253,11972.070412159374,2556.9835836195357,17.666666666666664,12.154065680262415,23.179267653070916,4.439688188091929
exp_tail_current,0,500000.0,5,shifted_exponential,bounded_identity,0.0,5.0,0.0,1.0,0.5,0.0,0.30298186097560975,0.22125272376639354,0.38471099818482596,0.06582226538536072,0.26613163333333334,0.17185440403596286,0.3604088626307038,0.07592813308089413,0.2869047619047619,0.1983069102006781,0.3755026136088457,0.0713541278737667,10386.564285714285,6348.7197358854355,14424.408835543134,3251.962330928609,21.00952380952381,14.356470200439617,27.662577418608002,5.3581754957128025
exp_tail_current,0,600000.0,5,shifted_exponential,bounded_identity,0.0,5.0,0.0,1.0,0.5,0.0,0.30780000203252034,0.23224612615757537,0.38335387790746533,0.060848889864121,0.2705780277777778,0.18391651606971357,0.357239539485842,0.06979465606913939,0.2904761904761905,0.2092776089850522,0.3716747719673288,0.06539497127129651,11938.897619047619,7225.986326509244,16651.808911585995,3795.6414129396057,24.313095238095237,16.63483482019916,31.991355655991313,6.1838471832989645
exp_tail_current,0,700000.0,5,shifted_exponential,bounded_identity,0.0,5.0,0.0,1.0,0.5,0.0,0.30717412369337976,0.22808586496406588,0.3862623824226936,0.06369537881723704,0.27338410544217695,0.1884546219107372,0.3583135889736167,0.06839973104986681,0.29285714285714287,0.2126740066704808,0.37304027904380493,0.06457716121483581,13631.126190476189,8496.358600030137,18765.89378092224,4135.392181680544,27.892857142857146,19.6018718165653,36.18384246914899,6.677317968698363
exp_tail_current,0,800000.0,5,shifted_exponential,bounded_identity,0.0,5.0,0.0,1.0,0.5,0.0,0.3078530975609756,0.2311653564364809,0.38454083868547034,0.06176207189338982,0.27633228869047616,0.18211173579628448,0.37055284158466784,0.07588248755741854,0.29523809523809524,0.20568969429794517,0.38478649617824534,0.07211967252790934,15124.645238095236,9410.369511904348,20838.920964286124,4602.111146378864,31.075,21.9222050799602,40.2277949200398,7.37139430093855
exp_tail_current,0,900000.0,5,shifted_exponential,bounded_identity,0.0,5.0,0.0,1.0,0.5,0.0,0.30960990514905157,0.22975584059366008,0.3894639697044431,0.06431213651270493,0.2812221507936508,0.192557669066929,0.3698866325203726,0.07140778975228972,0.3,0.21563408614852453,0.38436591385147545,0.06794584845298103,16900.06428571429,10063.204393412127,23736.924178016452,5506.207719795862,34.66904761904762,23.912129728665604,45.42596550942963,8.663308194441779
exp_tail_current,0,1000000.0,5,shifted_exponential,bounded_identity,0.0,5.0,0.0,1.0,0.5,0.0,0.31209875365853657,0.2313438881162787,0.3928536192007944,0.06503761537668866,0.2848758952380952,0.19518262028627514,0.37456917018991526,0.07223634983503878,0.30357142857142855,0.21849627407776717,0.3886465830650899,0.06851705019774605,18695.533333333333,10460.079079997044,26930.987586669624,6632.594860807751,38.135714285714286,25.549757943810352,50.721670627618224,10.136362462076079
exp_tail_current,1,100000.0,5,shifted_exponential,bounded_identity,0.0,5.0,0.0,1.1,0.5,0.0,0.22412857317073173,0.13877749280733023,0.3094796535341332,0.06873927285229615,0.2193594880952381,0.13932731602366855,0.2993916601668076,0.06445557911588559,0.25357142857142856,0.17809054740179361,0.3290523097410635,0.06079010205565137,3421.1940476190475,2828.4303157706445,4013.9577794674506,477.3946355100225,6.654761904761905,5.195259421825183,8.114264387698627,1.1754407674282983
