reward_model,price_per_million,most_selected_model,model_selection_counts,fixed_n,adaptive_utility,fixed_utility,adaptive_output_tokens,fixed_output_tokens,adaptive_cost_dollars,fixed_cost_dollars,adaptive_profit,fixed_profit,profit_gain,direct_cost_saving_percent,matched_quality_cost_saving_percent,profit_improvement_percent
armorm_llama3_8b,0.1,qwen35_9b,"{""gemma3_4b"": 2, ""granite42_8b"": 0, ""ministral3_8b"": 0, ""qwen35_9b"": 3}",9.8,0.4991273444622489,0.49880090028227997,12503.308,8013.063,0.0012503308,0.0008013063000000001,0.49787701366224885,0.49799959398228,-0.0001225803200311515,-57.43731459909826,-2.173691961067661,-0.02461403826638526
armorm_llama3_8b,0.2,gemma3_4b,"{""gemma3_4b"": 4, ""granite42_8b"": 0, ""ministral3_8b"": 0, ""qwen35_9b"": 1}",5.6,0.4986709192039938,0.4982899330387028,6548.630999999999,4546.126,0.0013097262000000003,0.0009092252,0.49736119300399384,0.49738070783870275,-1.9514834708955763e-05,-45.28639072729764,6.4322757430724,-0.003923502922075668
armorm_llama3_8b,0.5,qwen35_9b,"{""gemma3_4b"": 2, ""granite42_8b"": 0, ""ministral3_8b"": 0, ""qwen35_9b"": 3}",2.6,0.4983480063655403,0.4975577201747205,4110.253,2129.577,0.0020551264999999997,0.0010647884999999998,0.4962928798655404,0.4964929316747206,-0.0002000518091802239,-99.68319198265888,11.798499134773525,-0.04029430835507921
armorm_llama3_8b,1.0,gemma3_4b,"{""gemma3_4b"": 4, ""granite42_8b"": 0, ""ministral3_8b"": 0, ""qwen35_9b"": 1}",2.0,0.4981203336160176,0.4973042805417192,3480.786,1624.968,0.0034807859999999996,0.0016249680000000003,0.4946395476160176,0.49567931254171926,-0.001039764925701614,-114.16468395943927,8.209351743434576,-0.2097650809704954
armorm_llama3_8b,2.0,gemma3_4b,"{""gemma3_4b"": 5, ""granite42_8b"": 0, ""ministral3_8b"": 0, ""qwen35_9b"": 0}",1.0,0.4980576460490903,0.4964736499134048,3296.5870000000004,812.1215,0.0065931739999999985,0.0016242429999999998,0.49146447204909033,0.4948494069134049,-0.003384934864314515,-306.0581928480641,6.200003655109592,-0.6840339177164146
armorm_llama3_8b,5.0,gemma3_4b,"{""gemma3_4b"": 4, ""granite42_8b"": 0, ""ministral3_8b"": 0, ""qwen35_9b"": 1}",1.0,0.498079693812005,0.49651938025950065,3302.3435,824.425,0.016511717500000002,0.004122125,0.481567976312005,0.49239725525950073,-0.01082927894749569,-300.6666483423113,1.2667770262273126,-2.1993474121646908
armorm_llama3_8b,10.0,gemma3_4b,"{""gemma3_4b"": 4, ""granite42_8b"": 0, ""ministral3_8b"": 0, ""qwen35_9b"": 1}",1.0,0.49806921897409273,0.49651938025950065,3293.7704999999996,824.425,0.032937705,0.00824425,0.4651315139740927,0.48827513025950064,-0.023143616285407963,-299.6115413243477,0.18331328484037845,-4.7400815622149635
armorm_llama3_8b,20.0,gemma3_4b,"{""gemma3_4b"": 4, ""granite42_8b"": 0, ""ministral3_8b"": 0, ""qwen35_9b"": 1}",1.0,0.4980677389238629,0.49651938025950065,3291.923,824.425,0.06583846000000002,0.0164885,0.4322292789238628,0.4800308802595007,-0.047801601335637836,-299.3827375296193,0.04345495811146183,-9.958904064114254
