variant,generator,split,target_quality,selected_divisor,adaptive_target_reached_train,fixed_target_reached_train,adaptive_test_quality,fixed_test_quality,adaptive_target_error_pp,fixed_target_error_pp,adaptive_test_chars,fixed_test_chars,character_saving_vs_train_fixed_pct
reference_train_scale,qwen2.5_7b,25,0.3,75000.0,True,True,0.32074137653005635,0.3314455260411831,2.0741376530056366,3.1445526041183114,9943.245,15975.545,37.75958817054441
reference_train_scale,qwen2.5_7b,25,0.35,200000.0,True,True,0.3629194350303843,0.3732261946651406,1.291943503038434,2.3226194665140643,16766.115,26805.01,37.451562226613596
reference_train_scale,qwen2.5_7b,25,0.4,500000.0,True,True,0.4130334073692199,0.41979575309203754,1.3033407369219874,1.9795753092037516,31274.135,49053.805,36.24524132225829
reference_train_scale,qwen2.5_7b,25,0.45,1000000.0,True,True,0.45145290233449215,0.4690353200644913,0.14529023344921344,1.9035320064491268,57505.89,86567.81,33.57127782255321
reference_train_scale,qwen2.5_7b,25,0.5,2000000.0,True,True,0.4925714539674591,0.5029219089945007,-0.7428546032540895,0.29219089945007326,102122.95,143674.78,28.920754220051702
reference_train_scale,qwen2.5_7b,25,0.55,5000000.0,True,True,0.5445973026639753,0.5610951315130537,-0.540269733602472,1.1095131513053635,225525.31,305832.765,26.258617189037942
reference_train_scale,qwen2.5_7b,25,0.6,10000000.0,True,True,0.5905408312281117,0.6157292849631962,-0.9459168771888238,1.5729284963196255,434163.88,700133.925,37.988452709244164
local_exp_open5_conf06,qwen2.5_7b,25,0.3,50000.0,True,True,0.31001817108073887,0.3314455260411831,1.001817108073888,3.1445526041183114,11775.195,15975.545,26.292373750003524
local_exp_open5_conf06,qwen2.5_7b,25,0.35,500000.0,True,True,0.4058747173608173,0.3732261946651406,5.587471736081734,2.3226194665140643,31764.805,26805.01,-18.50323876021685
local_exp_open5_conf06,qwen2.5_7b,25,0.4,500000.0,True,True,0.4058747173608173,0.41979575309203754,0.5874717360817294,1.9795753092037516,31764.805,49053.805,35.24497233191187
local_exp_open5_conf06,qwen2.5_7b,25,0.45,1000000.0,True,True,0.44677349434907115,0.4690353200644913,-0.3226505650928857,1.9035320064491268,60135.415,86567.81,30.53374574221064
local_exp_open5_conf06,qwen2.5_7b,25,0.5,2000000.0,True,True,0.4977518788810727,0.5029219089945007,-0.22481211189273043,0.29219089945007326,106073.38,143674.78,26.171190239511763
local_exp_open5_conf06,qwen2.5_7b,25,0.55,5000000.0,True,True,0.5561500494863126,0.5610951315130537,0.6150049486312592,1.1095131513053635,237562.23,305832.765,22.32283221845115
local_exp_open5_conf06,qwen2.5_7b,25,0.6,10000000.0,True,True,0.5957288069168972,0.6157292849631962,-0.42711930831027534,1.5729284963196255,443515.505,700133.925,36.652761826960464
local_rayleigh_open5_conf12,qwen2.5_7b,25,0.3,50000.0,True,True,0.32011142694444006,0.3314455260411831,2.0111426944440067,3.1445526041183114,12170.985,15975.545,23.81489958558534
local_rayleigh_open5_conf12,qwen2.5_7b,25,0.35,200000.0,True,True,0.36095133465256296,0.3732261946651406,1.0951334652562983,2.3226194665140643,19039.785,26805.01,28.969304618800738
local_rayleigh_open5_conf12,qwen2.5_7b,25,0.4,500000.0,True,True,0.40864141919157043,0.41979575309203754,0.864141919157041,1.9795753092037516,35921.765,49053.805,26.770685780644335
local_rayleigh_open5_conf12,qwen2.5_7b,25,0.45,1000000.0,True,True,0.44862945250452513,0.4690353200644913,-0.1370547495474883,1.9035320064491268,75711.23,86567.81,12.54112816299731
local_rayleigh_open5_conf12,qwen2.5_7b,25,0.5,2000000.0,True,True,0.5022793708203666,0.5029219089945007,0.22793708203665553,0.29219089945007326,125860.47,143674.78,12.399051524561234
local_rayleigh_open5_conf12,qwen2.5_7b,25,0.55,5000000.0,True,True,0.5591334380091522,0.5610951315130537,0.9133438009152117,1.1095131513053635,240188.715,305832.765,21.46403443725201
local_rayleigh_open5_conf12,qwen2.5_7b,25,0.6,10000000.0,True,True,0.5926216505001176,0.6157292849631962,-0.7378349499882364,1.5729284963196255,419942.025,700133.925,40.019757648509895
