variant,description,uses_training_scale,model,confidence_scale,ei_bonus_scale,min_open,mean_relative_utility_gain_pct,mean_utility_delta_vs_reference,positive_utility_cells,utility_cells,mean_h2h_score,minimum_h2h_cell_mean,h2h_cells_above_half,mean_target_abs_error_pp,mean_target_character_saving_pct,positive_target_saving_cells,target_cells
local_exp_open5_conf06,local tail with stronger scale confidence inflation,False,exp_tail_exponentiated,0.6,0.002,5,5.314453797183059,-0.0004574572729977457,30,30,0.5709119951575219,0.5141666666666667,30,2.1351324964271683,7.754441813832402,26,35
local_rayleigh_open5_conf12,fit a shifted Rayleigh upper tail directly to raw rewards,False,rayleigh_tail_raw,1.2,0.002,5,4.300603297341917,-0.0041141100553159045,30,30,0.5512137403543133,0.5133333333333333,30,2.095640200134771,-0.23789206948353595,20,35
local_rayleigh_open5_conf14,fit a shifted Rayleigh upper tail directly to raw rewards,False,rayleigh_tail_raw,1.4,0.002,5,4.2842615644469335,-0.0037898150615161717,30,30,0.5549078396871733,0.5141666666666667,30,2.1818056476001932,-2.769228780081067,17,35
local_rayleigh_open5_conf16,fit a shifted Rayleigh upper tail directly to raw rewards,False,rayleigh_tail_raw,1.6,0.002,5,3.8644959882455807,-0.004758660488257941,29,30,0.5598329783440489,0.5145101667531174,30,2.1413257166620063,-0.8124805604302529,17,35
local_rayleigh_open5_conf18,fit a shifted Rayleigh upper tail directly to raw rewards,False,rayleigh_tail_raw,1.8,0.002,5,3.1179779634797677,-0.006938560832133108,27,30,0.5632547232443663,0.5141666666666667,30,2.0882721753139957,-0.24555791007417135,19,35
local_rayleigh_open5_conf20,fit a shifted Rayleigh upper tail directly to raw rewards,False,rayleigh_tail_raw,2.0,0.002,5,1.8966701662137746,-0.010337509902556734,24,30,0.5646498973175209,0.5141666666666667,30,2.1693270613380857,-1.5371241964107294,19,35
reference_train_scale,retained exponentiated-tail UCB with five training pseudo-observations,True,exp_tail_exponentiated,0.4,0.002,3,6.081226932258189,0.0,30,30,0.5760281110777005,0.5141666666666667,30,1.7485433586003258,15.586283427530823,31,35
