variant,generator,split,divisor,fixed_n,adaptive_utility,fixed_utility,utility_gap,relative_utility_gain_pct,utility_delta_vs_reference,adaptive_quality,adaptive_chars,adaptive_opens
reference_train_scale,qwen2.5_7b,25,100000.0,3,0.22013027132199284,0.19824132079141543,0.021888950530577406,11.041568146939664,0.0,0.3308373713219928,11070.71,14.76
reference_train_scale,qwen2.5_7b,25,500000.0,19,0.3504851373692199,0.32507602898770444,0.025409108381515444,7.816358671735992,0.0,0.4130334073692199,31274.135,60.09
reference_train_scale,qwen2.5_7b,25,1000000.0,52,0.39394701233449214,0.3751442254107565,0.01880278692373566,5.01214883506415,0.0,0.45145290233449215,57505.89,96.685
reference_train_scale,qwen2.5_7b,25,5000000.0,151,0.49949224066397524,0.4986780438445797,0.0008141968193955407,0.16327103818697442,0.0,0.5445973026639753,225525.31,260.93
reference_train_scale,qwen2.5_7b,25,10000000.0,295,0.5471244432281117,0.5476327464321171,-0.0005083032040054114,-0.09281826320961599,0.0,0.5905408312281117,434163.88,423.11
reference_train_scale,qwen2.5_7b,25,50000000.0,826,0.6313447020470924,0.6272941155840814,0.00405058646301093,0.645723650578067,0.0,0.6679622994470924,1830879.87,923.86
local_exp_open5_conf06,qwen2.5_7b,25,100000.0,3,0.198263130848408,0.19824132079141543,2.1810056992560556e-05,0.01100177142963477,-0.021867140473584835,0.32851753084840796,13025.44,10.615
local_exp_open5_conf06,qwen2.5_7b,25,500000.0,19,0.3423451073608173,0.32507602898770444,0.017269078373112867,5.31231983695914,-0.008140030008402558,0.4058747173608173,31764.805,55.51
local_exp_open5_conf06,qwen2.5_7b,25,1000000.0,52,0.3866380793490712,0.3751442254107565,0.011493853938314702,3.063849357065204,-0.007308932985420938,0.44677349434907115,60135.415,98.86
local_exp_open5_conf06,qwen2.5_7b,25,5000000.0,151,0.5086376034863127,0.4986780438445797,0.009959559641733007,1.9971923297343024,0.009145362822337353,0.5561500494863126,237562.23,268.355
local_exp_open5_conf06,qwen2.5_7b,25,10000000.0,295,0.5513772564168972,0.5476327464321171,0.0037445099847800423,0.6837629796932168,0.004252813188785457,0.5957288069168972,443515.505,425.66
local_exp_open5_conf06,qwen2.5_7b,25,50000000.0,826,0.6313447020470924,0.6272941155840814,0.00405058646301093,0.645723650578067,0.0,0.6679622994470924,1830879.87,923.86
local_rayleigh_open5_conf12,qwen2.5_7b,25,100000.0,3,0.1992321535709662,0.19824132079141543,0.0009908327795507543,0.49981142962283015,-0.020898117751026648,0.33947705357096614,14024.49,10.365
local_rayleigh_open5_conf12,qwen2.5_7b,25,500000.0,19,0.3367978891915705,0.32507602898770444,0.011721860203866064,3.6058826731605693,-0.013687248177649446,0.40864141919157043,35921.765,34.69
local_rayleigh_open5_conf12,qwen2.5_7b,25,1000000.0,52,0.372918222504525,0.3751442254107565,-0.0022260029062314834,-0.5933725632572825,-0.021028789829967108,0.44862945250452513,75711.23,94.215
local_rayleigh_open5_conf12,qwen2.5_7b,25,5000000.0,151,0.5110956950091521,0.4986780438445797,0.012417651164572385,2.4901138756456915,0.01160345434517689,0.5591334380091522,240188.715,280.895
local_rayleigh_open5_conf12,qwen2.5_7b,25,10000000.0,295,0.5506274480001176,0.5476327464321171,0.002994701568000524,0.5468448677533089,0.003503004772005886,0.5926216505001176,419942.025,422.005
local_rayleigh_open5_conf12,qwen2.5_7b,25,50000000.0,826,0.6313447020470924,0.6272941155840814,0.00405058646301093,0.645723650578067,0.0,0.6679622994470924,1830879.87,923.86
local_rayleigh_open5_conf14,qwen2.5_7b,25,100000.0,3,0.19754601785244943,0.19824132079141543,-0.000695302938965997,-0.3507356267554217,-0.022584253469543424,0.34380186785244937,14625.585,11.495
local_rayleigh_open5_conf14,qwen2.5_7b,25,500000.0,19,0.3254156303895705,0.32507602898770444,0.00033960140186606314,0.10446830020767484,-0.02506950697964941,0.41848417038957053,46534.27,44.17
local_rayleigh_open5_conf14,qwen2.5_7b,25,1000000.0,52,0.37327384823156634,0.3751442254107565,-0.0018703771791901413,-0.4985754951025063,-0.020673164102925762,0.45988705823156634,86613.21,102.065
local_rayleigh_open5_conf14,qwen2.5_7b,25,5000000.0,151,0.5105774654510857,0.4986780438445797,0.011899421606506033,2.386193206896966,0.011085224787110413,0.5652370124510857,273297.735,293.4
local_rayleigh_open5_conf14,qwen2.5_7b,25,10000000.0,295,0.5518040960338358,0.5476327464321171,0.004171349601718721,0.7617056556415749,0.004679652805724014,0.5960260585338357,442219.625,430.69
local_rayleigh_open5_conf14,qwen2.5_7b,25,50000000.0,826,0.6313447020470924,0.6272941155840814,0.00405058646301093,0.645723650578067,0.0,0.6679622994470924,1830879.87,923.86
local_rayleigh_open5_conf16,qwen2.5_7b,25,100000.0,3,0.1904384163565288,0.19824132079141543,-0.007802904434886626,-3.936063583382118,-0.029691854965464025,0.34969636635652873,15925.795,13.71
local_rayleigh_open5_conf16,qwen2.5_7b,25,500000.0,19,0.3223479042776439,0.32507602898770444,-0.002728124710060509,-0.8392266629305037,-0.02813723309157596,0.42894461427764397,53298.355,49.25
local_rayleigh_open5_conf16,qwen2.5_7b,25,1000000.0,52,0.37055233181203506,0.3751442254107565,-0.004591893598721419,-1.2240341947669913,-0.02339468052245709,0.46942450181203504,98872.17,109.795
local_rayleigh_open5_conf16,qwen2.5_7b,25,5000000.0,151,0.5107017838080495,0.4986780438445797,0.012023739963469837,2.4111227899211882,0.011209543144074262,0.5708943838080496,300963.0,304.415
local_rayleigh_open5_conf16,qwen2.5_7b,25,10000000.0,295,0.5547194844965525,0.5476327464321171,0.007086738064435383,1.2940676229838701,0.007595041268440721,0.6012411609965526,465216.765,438.47
local_rayleigh_open5_conf16,qwen2.5_7b,25,50000000.0,826,0.6313447020470924,0.6272941155840814,0.00405058646301093,0.645723650578067,0.0,0.6679622994470924,1830879.87,923.86
local_rayleigh_open5_conf18,qwen2.5_7b,25,100000.0,3,0.1861106102750107,0.19824132079141543,-0.012130710516404741,-6.119163486187812,-0.034019661046982154,0.35570216027501067,16959.155,15.155
local_rayleigh_open5_conf18,qwen2.5_7b,25,500000.0,19,0.299703783800145,0.32507602898770444,-0.025372245187559428,-7.805018803314808,-0.0507813535690749,0.439756593800145,70026.405,66.555
local_rayleigh_open5_conf18,qwen2.5_7b,25,1000000.0,52,0.377061550762271,0.3751442254107565,0.0019173253515145094,0.5110901945552203,-0.016885461572221143,0.486867485762271,109805.935,117.42
local_rayleigh_open5_conf18,qwen2.5_7b,25,5000000.0,151,0.511473667735224,0.4986780438445797,0.012795623890644259,2.565908816036064,0.01198142707124864,0.576813039735224,326696.86,314.745
local_rayleigh_open5_conf18,qwen2.5_7b,25,10000000.0,295,0.5558162776948693,0.5476327464321171,0.008183531262752175,1.4943465883055225,0.008691834466757536,0.6050920991948694,492758.215,448.66
local_rayleigh_open5_conf18,qwen2.5_7b,25,50000000.0,826,0.6313447020470924,0.6272941155840814,0.00405058646301093,0.645723650578067,0.0,0.6679622994470924,1830879.87,923.86
local_rayleigh_open5_conf20,qwen2.5_7b,25,100000.0,3,0.17899644959029415,0.19824132079141543,-0.019244871201121283,-9.70780013182532,-0.041133821731698675,0.36427264959029415,18527.62,16.85
local_rayleigh_open5_conf20,qwen2.5_7b,25,500000.0,19,0.2945108346049924,0.32507602898770444,-0.030565194382712046,-9.40247562328508,-0.05597430276422749,0.45046601460499247,77977.59,73.1
local_rayleigh_open5_conf20,qwen2.5_7b,25,1000000.0,52,0.36943215377840327,0.3751442254107565,-0.005712071632353211,-1.5226334954506884,-0.02451485855608893,0.4940562037784032,124624.05,125.22
local_rayleigh_open5_conf20,qwen2.5_7b,25,5000000.0,151,0.509291343605686,0.4986780438445797,0.010613299761106254,2.1282869563060296,0.009799102941710663,0.5787917546056859,347502.055,323.375
