variant,generator,target_quality,splits,adaptive_test_quality_mean,adaptive_test_quality_ci_low,adaptive_test_quality_ci_high,fixed_test_quality_mean,fixed_test_quality_ci_low,fixed_test_quality_ci_high,adaptive_target_error_pp_mean,adaptive_target_error_pp_ci_low,adaptive_target_error_pp_ci_high,fixed_target_error_pp_mean,fixed_target_error_pp_ci_low,fixed_target_error_pp_ci_high,adaptive_test_chars_mean,adaptive_test_chars_ci_low,adaptive_test_chars_ci_high,fixed_test_chars_mean,fixed_test_chars_ci_low,fixed_test_chars_ci_high,character_saving_vs_train_fixed_pct_mean,character_saving_vs_train_fixed_pct_ci_low,character_saving_vs_train_fixed_pct_ci_high
local_exp_open5_conf06,gemma2_9b,0.3,3,0.3360262689724715,0.32461355003644043,0.3474389879085026,0.3000859299930435,0.25996188230394124,0.3402099776821458,3.6026268972471467,2.4613550036440417,4.743898790850252,0.00859299930435209,-4.003811769605875,4.020997768214579,7845.935,6373.707660733486,9318.162339266515,5535.166666666667,4201.9607093604745,6868.372623972859,-43.258482977580115,-104.23651270673871,17.719546751578477
local_exp_open5_conf06,gemma2_9b,0.35,3,0.3360262689724715,0.32461355003644043,0.3474389879085026,0.34606934256449523,0.3211679713526113,0.37097071377637914,-1.3973731027528524,-2.5386449963559574,-0.25610120914974743,-0.393065743550471,-2.883202864738864,2.097071377637922,7845.935,6373.707660733486,9318.162339266515,10090.14,9240.499363550944,10939.780636449055,22.146470779952306,4.3992044329727875,39.893737126931825
local_exp_open5_conf06,gemma2_9b,0.4,3,0.40667515479478605,0.31849298070645515,0.49485732888311695,0.38990185464823934,0.37264942676834656,0.4071542825281321,0.6675154794786048,-8.150701929354486,9.485732888311695,-1.009814535176066,-2.7350573231653463,0.7154282528132148,17704.021666666667,-3814.888428543807,39222.931761877146,18158.179999999997,14103.881813218024,22212.47818678197,4.434815927808884,-91.20749813573867,100.07712999135644
local_exp_open5_conf06,gemma2_9b,0.45,3,0.45902435937033753,0.3688752836534532,0.5491734350872219,0.4451688654606287,0.4283664837565252,0.46197124716473226,0.9024359370337499,-8.112471634654684,9.917343508722185,-0.48311345393712846,-2.163351624347484,1.197124716473227,38112.09666666667,-5000.684257372253,81224.8775907056,35996.73,32940.10357264393,39053.35642735608,-5.288747600417572,-118.14229726162068,107.56480206078552
local_exp_open5_conf06,gemma2_9b,0.5,3,0.508200685879915,0.4448476085205349,0.571553763239295,0.5003691363405424,0.4854940996283765,0.5152441730527082,0.8200685879914887,-5.515239147946516,7.1553763239294925,0.03691363405423272,-1.4505900371623552,1.5244173052708205,72209.08833333333,4084.9688512525317,140333.20781541412,88233.88666666666,66142.99621120887,110324.77712212445,15.352376183284973,-88.62820142911585,119.3329537956858
local_exp_open5_conf06,gemma2_9b,0.55,3,0.5682762277485031,0.5061650955645783,0.6303873599324278,0.5477590782823328,0.5200871467785046,0.575431009786161,1.8276227748503018,-4.383490443542172,8.038735993242776,-0.22409217176672472,-2.991285322149539,2.54310097861609,197687.505,-4525.025097070116,399900.03509707015,217705.9883333333,120707.91698339026,314704.05968327634,6.327200685316548,-99.01259774913086,111.66699911976394
local_exp_open5_conf06,gemma2_9b,0.6,3,0.6075528910204245,0.5943819365626707,0.6207238454781784,0.6003608480090691,0.5654267292452811,0.635294966772857,0.7552891020424446,-0.5618063437329432,2.0723845478178324,0.036084800906917756,-3.4573270754718726,3.5294966772857084,433591.58666666667,395105.5594877213,472077.61384561204,556104.9600000001,179099.11974177812,933110.800258222,17.912330471338656,-38.38952956427399,74.2141905069513
local_exp_open5_conf06,llama3.1_8b,0.3,3,0.3115874358094923,0.30017734735608437,0.3229975242629002,0.29873564694257254,0.27738907298476606,0.320082220900379,1.1587435809492304,0.01773473560843719,2.2997524262900235,-0.1264353057427429,-2.2610927015233933,2.0082220900379073,10911.74,8817.28043220822,13006.19956779178,11298.608333333332,6215.521165559808,16381.695501106857,2.2971952048135376,-21.005869279529254,25.600259689156328
local_exp_open5_conf06,llama3.1_8b,0.35,3,0.35260488314159505,0.3338078016767533,0.3714019646064368,0.34577535228376327,0.29272259668842315,0.3988281078791034,0.26048831415951085,-1.6192198323246685,2.1401964606436903,-0.4224647716236689,-5.727740331157681,4.882810787910343,14245.358333333332,13840.614121287306,14650.102545379357,19137.623333333333,5688.524359970621,32586.722306696043,21.69555175240649,-30.109417132099157,73.50052063691214
local_exp_open5_conf06,llama3.1_8b,0.4,3,0.41304157960683807,0.3851735230200567,0.44090963619361945,0.4023504993324544,0.3224928206623945,0.48220817800251436,1.304157960683807,-1.4826476979943284,4.0909636193619425,0.2350499332454404,-7.750717933760551,8.220817800251432,25766.018333333337,21811.023669937298,29721.012996729376,37707.55166666667,6130.590903850014,69284.51242948334,26.584630056869617,-30.574669431623416,83.74392954536265
local_exp_open5_conf06,llama3.1_8b,0.45,3,0.47208509985044705,0.46014843498303587,0.48402176471785824,0.4583370293442192,0.39962500168146387,0.5170490570069746,2.2085099850447008,1.0148434983035817,3.40217647178582,0.8337029344219188,-5.037499831853619,6.7049057006974575,52726.22166666667,49449.91955723905,56002.52377609429,75999.54666666668,22968.584445388144,129030.50888794521,27.159789724983238,-18.894597044580745,73.21417649454722
local_exp_open5_conf06,llama3.1_8b,0.5,3,0.5320375345264519,0.5116912309856505,0.5523838380672532,0.5082451077501133,0.4410355850563091,0.5754546304439176,3.203753452645186,1.1691230985650525,5.23838380672532,0.8245107750113353,-5.896441494369091,7.545463044391761,105854.89333333333,97069.89236781615,114639.8942988505,145592.16333333336,1371.4067725942296,289812.91989407246,20.787948589695763,-40.66868146653485,82.24457864592638
local_exp_open5_conf06,llama3.1_8b,0.55,3,0.5885663458486828,0.5737448576780291,0.6033878340193366,0.5589007102587309,0.5268414541129722,0.5909599664044896,3.8566345848682793,2.374485767802908,5.33878340193365,0.8900710258730774,-2.3158545887027913,4.095996640448946,241310.07166666668,211493.9233819208,271126.2199514126,273940.2833333333,67638.97082464708,480241.59584201954,6.497721606001723,-60.10634593110324,73.10178914310669
local_exp_open5_conf06,llama3.1_8b,0.6,3,0.6189268665706812,0.613086269627137,0.6247674635142254,0.6050858758415846,0.5738378468351554,0.6363339048480138,1.8926866570681284,1.3086269627137053,2.476746351422552,0.5085875841584672,-2.6162153164844506,3.633390484801385,435480.48166666663,392414.09740312304,478546.8659302102,553960.0566666666,265503.76591872104,842416.3474146123,19.429700137284364,-16.711918280389483,55.57131855495821
local_exp_open5_conf06,llama3.2_3b,0.3,3,0.30450849842635624,0.28097300618906323,0.32804399066364925,0.31119243325778173,0.2552875413169353,0.36709732519862814,0.4508498426356274,-1.9026993810936732,2.804399066364928,1.119243325778176,-4.471245868306463,6.709732519862815,10318.346666666666,8450.111606942828,12186.581726390505,12479.263333333334,5993.481686189525,18965.04498047714,15.07363094234514,-28.586188946409145,58.733450831099425
local_exp_open5_conf06,llama3.2_3b,0.35,3,0.38134634393959943,0.21823203765866223,0.5444606502205367,0.3530161634223228,0.2675853503182581,0.4384469765263875,3.1346343939599453,-13.176796234133775,19.446065022053666,0.30161634223227846,-8.241464968174188,8.844697652638747,22389.088333333333,-1666.5368224622398,46444.7134891289,20330.296666666665,5011.410359687781,35649.18297364555,-8.268186085659579,-91.98833502566455,75.4519628543454
local_exp_open5_conf06,llama3.2_3b,0.4,3,0.4145516251348018,0.3942989198176263,0.4348043304519773,0.4098733689745537,0.3398495492934422,0.47989718865566516,1.4551625134801778,-0.5701080182373721,3.480433045197728,0.9873368974553652,-6.015045070655781,7.989718865566512,27774.164999999997,23852.01007418233,31696.319925817665,39334.736666666664,17016.507441212736,61652.96589212059,27.1736779968035,-11.097190968287382,65.44454696189439
local_exp_open5_conf06,llama3.2_3b,0.45,3,0.47362020078168054,0.4290229609896542,0.5182174405737069,0.448146315866669,0.3822543409768387,0.5140382907564993,2.3620200781680514,-2.0977039010345817,6.821744057370685,-0.18536841333310164,-6.774565902316133,6.40382907564993,52800.77833333333,41379.7768528467,64221.77981381996,64212.845,19503.073163420755,108922.61683657925,14.649079646721503,-28.639452996545216,57.93761228998822
