variant,generator,divisor,splits,relative_utility_gain_pct_mean,relative_utility_gain_pct_ci_low,relative_utility_gain_pct_ci_high,utility_gap_mean,utility_gap_ci_low,utility_gap_ci_high,utility_delta_vs_reference_mean,utility_delta_vs_reference_ci_low,utility_delta_vs_reference_ci_high,adaptive_utility_mean,adaptive_utility_ci_low,adaptive_utility_ci_high,adaptive_quality_mean,adaptive_quality_ci_low,adaptive_quality_ci_high,adaptive_chars_mean,adaptive_chars_ci_low,adaptive_chars_ci_high,adaptive_opens_mean,adaptive_opens_ci_low,adaptive_opens_ci_high
local_exp_open5_conf06,gemma2_9b,100000.0,3,8.327348264964884,1.0965879729299512,15.558108556999818,0.021051608174964858,0.0033291580691788697,0.038774058280750846,-0.008716052355048883,-0.014690074646131656,-0.0027420300639661105,0.2744526395744212,0.25299247159397475,0.2959128075548676,0.3629477562410878,0.35515463954712917,0.3707408729350465,8849.511666666667,7208.946225595673,10490.077107737661,14.341666666666669,10.061728556375794,18.621604776957543
local_exp_open5_conf06,gemma2_9b,500000.0,3,6.832299780800578,3.9637160179257407,9.700883543675415,0.02506939489346392,0.01404205472266665,0.036096735064261185,-0.0006118079492688001,-0.011292052523426964,0.010068436624889364,0.3916185872832704,0.3687287633121783,0.41450841125436255,0.4565891339499372,0.43115306737613,0.4820252005237444,32485.273333333334,26437.94594283242,38532.60072383425,87.94833333333334,43.18934448138952,132.70732218527715
local_exp_open5_conf06,gemma2_9b,1000000.0,3,7.374548862321739,6.9733857973293,7.775711927314179,0.030506712088091876,0.028990461680660953,0.0320229624955228,0.002246655442011967,-0.002173636412284574,0.0066669472963085084,0.44430010881983256,0.4148306214576154,0.4737695961820497,0.5041295438198324,0.4757793395662371,0.5324797480734278,59829.435,58680.59554258962,60978.27445741038,145.28,87.57694179622388,202.98305820377612
local_exp_open5_conf06,gemma2_9b,5000000.0,3,6.737214052025273,5.156937682758765,8.31749042129178,0.03437382371229706,0.027208857349043446,0.04153879007555067,0.0009149333909690818,-0.0013173411607357746,0.0031472079426739384,0.5449317110943189,0.5316595870976836,0.5582038350909543,0.5913724490943189,0.577924981735818,0.6048199164528197,232203.69000000003,220141.57522337395,244265.80477662612,401.56,294.9278924754453,508.19210752455473
local_exp_open5_conf06,gemma2_9b,10000000.0,3,4.214673341985382,2.3761878903332256,6.053158793637538,0.023283982959229104,0.013021658848486021,0.033546307069972185,0.0006489728032940569,-0.002997201432430229,0.004295147039018342,0.5756489030072963,0.5615705577161046,0.589727248298488,0.6153327558406297,0.6037928265580742,0.6268726851231853,396838.5283333333,328514.94159717095,465162.1150694957,548.9700000000001,396.6092297179483,701.330770282052
local_exp_open5_conf06,gemma2_9b,50000000.0,3,0.41370434570022613,-0.7245600525517923,1.5519687439522445,0.0025833334771477867,-0.0044852409262573995,0.009651907880552972,-1.5661666666668313e-06,-8.304837950243488e-06,5.172504616909826e-06,0.6287280144621,0.616609450075881,0.6408465788483191,0.6555516626287666,0.6487398414916347,0.6623634837658986,1341182.4083333332,1037746.1518976954,1644618.664768971,950.4716666666667,928.1786781907986,972.7646551425348
local_exp_open5_conf06,llama3.1_8b,100000.0,3,14.948991517268174,11.62682583524007,18.27115719929628,0.029573225052649227,0.02837386325473652,0.030772586850561934,-0.006583581469416164,-0.017516271374642622,0.004349108435810297,0.22862189703178348,0.176556214271714,0.280687579791853,0.3399426803651169,0.29746513299890204,0.3824202277313317,11132.078333333333,9246.968399652513,13017.188267014153,11.711666666666666,5.3352870997206745,18.08804623361266
local_exp_open5_conf06,llama3.1_8b,500000.0,3,10.631824600349939,5.404182410833335,15.859466789866541,0.03471020306371009,0.01653497036002454,0.052885435767395635,0.003431669075448359,-0.007381781048030545,0.014245119198927264,0.36074783759393153,0.32835758612843624,0.3931380890594268,0.41741639426059823,0.3755705836314591,0.45926220488973735,28334.278333333332,23363.38034782791,33305.176318838756,58.14000000000001,-2.415401888380238,118.69540188838025
local_exp_open5_conf06,llama3.1_8b,1000000.0,3,9.397811451438288,3.2112526508904313,15.584370251986146,0.03628640430892995,0.013383395524031567,0.05918941309382834,0.003010728369351017,-0.014779218730099528,0.02080067546880156,0.42335076554246154,0.40562248779001325,0.4410790432949098,0.48033798220912827,0.4526029612217663,0.5080730031964903,56987.216666666674,46434.54069203939,67539.89264129396,111.50833333333333,22.636938491783695,200.37972817488296
local_exp_open5_conf06,llama3.1_8b,5000000.0,3,8.343941400955117,4.147814361953842,12.540068439956393,0.04182934717369119,0.02181986380507689,0.06183883054230549,0.0014676718060202736,-0.0036623295712431194,0.006597673183283666,0.5438276805521901,0.5319466991544537,0.5557086619499265,0.5903050658855235,0.5854712046105451,0.5951389271605018,232386.92666666667,194293.7503488612,270480.1029844721,328.685,272.72982285663556,384.64017714336444
local_exp_open5_conf06,llama3.1_8b,10000000.0,3,5.777231236387773,0.32815240121341827,11.226310071562128,0.0312818921780581,0.004248163556086849,0.058315620800029354,-0.00012845590835999928,-0.002756240008328752,0.0024993281916087535,0.5767917023916569,0.5636257301181042,0.5899576746652095,0.617517532391657,0.603301277457646,0.631733787325668,407258.30000000005,346027.3737543215,468489.2262456786,446.01,372.81320988075584,519.2067901192441
local_exp_open5_conf06,llama3.1_8b,50000000.0,3,0.24335954889768205,-0.7196322651549444,1.2063513629503084,0.0015110377373551327,-0.004476450579768565,0.00749852605447883,0.0,0.0,0.0,0.6284302252247302,0.6119210439525562,0.6449394064969043,0.6637658668913969,0.6500614586560505,0.6774702751267434,1766782.0833333333,1513440.1507766345,2020124.015890032,944.0583333333334,908.8318934263756,979.2847732402912
local_exp_open5_conf06,llama3.2_3b,100000.0,3,11.532892294352058,9.375225756749286,13.69055883195483,0.023228304837083363,0.019720699158156996,0.02673591051600973,-0.0016783160008990014,-0.022480348795146914,0.01912371679334891,0.22482328662056228,0.21286417832645343,0.23678239491467112,0.33134618662056226,0.3192831783915109,0.34340919484961363,10652.29,8400.213803811308,12904.366196188694,13.636666666666668,5.43430562619932,21.839027707134015
local_exp_open5_conf06,llama3.2_3b,500000.0,3,6.357989286251159,-6.371499260469135,19.08747783297145,0.02136358926495857,-0.02120733615005859,0.06393451467997574,0.006116190737143215,-0.01116886931368925,0.02340125078797568,0.36339219683589213,0.3416550261474378,0.38512936752434646,0.4222932335025587,0.4117160785328971,0.4328703884722203,29450.518333333337,16748.00961997685,42153.02704668982,61.32,-18.941402504885737,141.58140250488574
local_exp_open5_conf06,llama3.2_3b,1000000.0,3,11.804668132441883,10.063718469294406,13.54561779558936,0.046463972505618345,0.04084717705282226,0.05208076795841443,0.014216792719964155,0.005334041002442025,0.023099544437486283,0.44025919985540213,0.4241830656032292,0.45633533410757504,0.4958030031887355,0.469373944936399,0.5222320614410719,55543.80333333334,44898.75390623943,66188.85276042724,113.48333333333335,16.8868651498275,210.0798015168392
local_exp_open5_conf06,llama3.2_3b,5000000.0,3,5.937256019844841,2.2858799915416914,9.588632048147991,0.030857650122637376,0.011932074367979821,0.04978322587729493,0.002306647427954859,8.077653759717236e-05,0.004532518318312546,0.5506239226326421,0.5318261461119173,0.569421699153367,0.5979010682993088,0.577355938588475,0.6184461980101426,236385.72833333336,199410.24229330057,273361.21437336615,328.4016666666667,275.2912637617401,381.5120695715933
local_exp_open5_conf06,llama3.2_3b,10000000.0,3,3.0526765625682835,-0.9326343231990344,7.037987448335601,0.017239495084352113,-0.00526146545683686,0.039740455625541085,0.002854345730796025,0.0011480057310695776,0.0045606857305224725,0.582256425338759,0.5610182836556208,0.6034945670218972,0.6275164036720923,0.6100065305350817,0.6450262768091028,452599.7833333334,365623.8190708542,539575.7475958125,469.92499999999995,348.06524095384754,591.7847590461524
local_exp_open5_conf06,llama3.2_3b,50000000.0,3,0.34758893239262495,-0.20323907607717,0.8984169408624199,0.0022506885931044738,-0.0013382149207652903,0.005839592106974238,0.0,0.0,0.0,0.6489115323232061,0.6386598127266758,0.6591632519197363,0.6821253175565394,0.6664151782824764,0.6978354568306023,1660689.2616666667,1320390.8636316028,2000987.6597017306,945.4666666666667,916.6141254112662,974.3192079220672
