variant,generator,split,target_quality,selected_divisor,adaptive_target_reached_train,fixed_target_reached_train,adaptive_test_quality,fixed_test_quality,adaptive_target_error_pp,fixed_target_error_pp,adaptive_test_chars,fixed_test_chars,character_saving_vs_train_fixed_pct
reference_train_scale,llama3.1_8b,16,0.3,100000.0,True,True,0.34542506210806395,0.3147552755493447,4.542506210806396,1.4755275549344693,11517.98,15076.395,23.60255883452245
reference_train_scale,llama3.1_8b,16,0.35,500000.0,True,True,0.42246976704198064,0.35490719924750974,7.246976704198066,0.49071992475097637,34330.86,21627.92,-58.73398828921137
reference_train_scale,llama3.1_8b,16,0.4,1000000.0,True,True,0.48454599220073324,0.4123652050035902,8.454599220073323,1.2365205003590174,62010.21,41001.735,-51.23801468401276
reference_train_scale,llama3.1_8b,16,0.45,2000000.0,True,True,0.543354290685317,0.4566438936452535,9.335429068531703,0.6643893645253474,113561.32,65009.24,-74.68489094780989
reference_train_scale,llama3.1_8b,16,0.5,2000000.0,True,True,0.543354290685317,0.4952959453154991,4.335429068531704,-0.47040546845009135,113561.32,116889.325,2.8471419438858
reference_train_scale,llama3.1_8b,16,0.55,5000000.0,True,True,0.592383040008578,0.5400046412266957,4.238304000857795,-0.9995358773304375,238184.67,224539.355,-6.0770260073117255
reference_train_scale,llama3.1_8b,16,0.6,10000000.0,True,True,0.6119221314676866,0.5982769130105785,1.1922131467686614,-0.1723086989421474,397143.055,560551.165,29.151328228887014
local_exp_open5_conf06,llama3.1_8b,16,0.3,75000.0,True,True,0.33065625856789166,0.3147552755493447,3.065625856789167,1.4755275549344693,11547.215,15076.395,23.408646430396654
local_exp_open5_conf06,llama3.1_8b,16,0.35,500000.0,True,True,0.4057464595317002,0.35490719924750974,5.574645953170021,0.49071992475097637,26498.125,21627.92,-22.518138591228386
local_exp_open5_conf06,llama3.1_8b,16,0.4,1000000.0,True,True,0.4714139095573289,0.4123652050035902,7.1413909557328905,1.2365205003590174,52806.345,41001.735,-28.790513377055873
