variant,generator,target_quality,splits,adaptive_test_quality_mean,adaptive_test_quality_ci_low,adaptive_test_quality_ci_high,fixed_test_quality_mean,fixed_test_quality_ci_low,fixed_test_quality_ci_high,adaptive_target_error_pp_mean,adaptive_target_error_pp_ci_low,adaptive_target_error_pp_ci_high,fixed_target_error_pp_mean,fixed_target_error_pp_ci_low,fixed_target_error_pp_ci_high,adaptive_test_chars_mean,adaptive_test_chars_ci_low,adaptive_test_chars_ci_high,fixed_test_chars_mean,fixed_test_chars_ci_low,fixed_test_chars_ci_high,character_saving_vs_train_fixed_pct_mean,character_saving_vs_train_fixed_pct_ci_low,character_saving_vs_train_fixed_pct_ci_high
local_exp_open5_conf06,gemma2_9b,0.3,3,0.3444086815201119,0.33862057524790545,0.35019678779231833,0.3008566025447836,0.2710669416628096,0.33064626342675757,4.44086815201119,3.8620575247905435,5.019678779231837,0.08566025447836097,-2.8933058337190385,3.0646263426757603,7652.82,5651.8057291029245,9653.834270897076,5360.1483333333335,2001.1392466552988,8719.157420011368,-47.134677793497396,-113.54238389888073,19.27302831188593
local_exp_open5_conf06,gemma2_9b,0.35,3,0.35453757415679205,0.3242389444600548,0.3848362038535293,0.3417770177230457,0.2953657959366423,0.3881882395094491,0.45375741567920863,-2.5761055539945183,3.483620385352936,-0.8222982276954337,-5.463420406335773,3.8188239509449056,8163.298333333332,5357.258027152151,10969.338639514513,8824.803333333333,2636.5212012647244,15013.085465401942,4.790626011605466,-32.053336269136764,41.6345882923477
local_exp_open5_conf06,gemma2_9b,0.4,3,0.43239922652022084,0.34807381027316614,0.5167246427672756,0.3928625650959983,0.3603485849638124,0.42537654522818424,3.2399226520220794,-5.192618972683393,11.67246427672755,-0.7137434904001686,-3.965141503618764,2.537654522818427,25437.141666666666,189.4749448794355,50684.808388453894,17645.45,5240.2741481429985,30050.625851857003,-41.215502678713385,-124.34612670272773,41.91512134530095
local_exp_open5_conf06,gemma2_9b,0.45,3,0.4565891339499372,0.43115306737613,0.4820252005237444,0.45169106251003016,0.42287750908984145,0.48050461593021887,0.6589133949937135,-1.8846932623870059,3.2025200523744326,0.16910625100301316,-2.712249091015856,3.0504615930218826,32485.273333333334,26437.94594283242,38532.60072383425,41915.40666666667,17722.290402859246,66108.5229304741,18.204990534289546,-50.64453289768984,87.05451396626894
local_exp_open5_conf06,gemma2_9b,0.5,3,0.5150437001492861,0.4433181509949502,0.5867692493036221,0.5012799883498881,0.4922349337330941,0.510325042966682,1.5043700149286057,-5.66818490050499,8.676924930362201,0.1279988349888017,-0.7765066266905917,1.0325042966681952,73850.985,14573.810573632989,133128.15942636703,87574.76666666666,52359.498643746265,122790.03468958706,11.34463027360197,-96.58644303201879,119.27570357922272
local_exp_open5_conf06,gemma2_9b,0.55,3,0.5913724490943189,0.577924981735818,0.6048199164528197,0.5493959402069953,0.5353392531815502,0.5634526272324405,4.137244909431888,2.7924981735818024,5.4819916452819735,-0.06040597930046706,-1.4660746818449828,1.3452627232440488,232203.69000000003,220141.57522337395,244265.80477662612,203477.2333333333,115426.37538010253,291528.0912865641,-16.48768076700235,-67.19119493059051,34.21583339658581
local_exp_open5_conf06,gemma2_9b,0.6,3,0.6153327558406297,0.6037928265580742,0.6268726851231853,0.6070840976069704,0.604480236805636,0.6096879584083047,1.5332755840629764,0.37928265580742604,2.6872685123185267,0.7084097606970449,0.4480236805636087,0.9687958408304811,396838.5283333333,328514.94159717095,465162.1150694957,535528.3866666666,387662.6651369892,683394.108196344,25.178108757570712,-1.755611036970702,52.11182855211213
local_exp_open5_conf06,llama3.1_8b,0.3,3,0.3264143137316333,0.2824810900127183,0.3703475374505483,0.30854782172670586,0.2542169886285557,0.36287865482485604,2.641431373163335,-1.7518909987281632,7.034753745054834,0.8547821726705874,-4.5783011371444315,6.287865482485606,10428.576666666668,8018.020725169496,12839.13260816384,11744.365,4477.693789068818,19011.036210931183,9.020105146232693,-24.547952571245794,42.58816286371118
local_exp_open5_conf06,llama3.1_8b,0.35,3,0.38864812174136354,0.2432439947369325,0.5340522487457946,0.3480981182120057,0.3064786524861693,0.3897175839378421,3.8648121741363624,-10.675600526306736,18.40522487457946,-0.1901881787994312,-4.35213475138307,3.9717583937842074,22631.763333333336,-3020.575493280314,48284.10215994698,18181.921666666665,10358.016316208203,26005.827017125128,-22.564354186485517,-151.37416258707202,106.245454214101
local_exp_open5_conf06,llama3.1_8b,0.4,3,0.43930554426914115,0.3625448544137135,0.5160662341245689,0.4020459551813582,0.35338414349719227,0.45070776686552416,3.930554426914114,-3.745514558628653,11.606623412456882,0.20459551813581575,-4.661585650280777,5.070776686552408,37103.685,3187.6282766902514,71019.74172330974,35588.575000000004,22660.42164074544,48516.72835925457,-2.349341981153818,-59.55277919572613,54.85409523341849
