variant,generator,divisor,splits,adaptive_score_mean,adaptive_score_ci_low,adaptive_score_ci_high,adaptive_chars_mean,adaptive_chars_ci_low,adaptive_chars_ci_high,fixed_chars_mean,fixed_chars_ci_low,fixed_chars_ci_high
local_exp_open5_conf06,gemma2_9b,100000.0,3,0.5728577063503235,0.48807990233513043,0.6576355103655166,8849.511666666667,7208.946225595673,10490.077107737661,8849.511666666667,7208.9462255956705,10490.077107737665
local_exp_open5_conf06,gemma2_9b,500000.0,3,0.5517516695841428,0.45701720702048904,0.6464861321477965,32485.273333333334,26437.94594283242,38532.60072383425,32485.273333333334,26437.94594283242,38532.60072383425
local_exp_open5_conf06,gemma2_9b,1000000.0,3,0.5843923921226125,0.46523928545749726,0.7035454987877278,59829.435,58680.59554258962,60978.27445741038,59829.435,58680.59554258962,60978.27445741038
local_exp_open5_conf06,gemma2_9b,5000000.0,3,0.63,0.592737934323745,0.667262065676255,232203.69000000003,220141.57522337395,244265.80477662612,232203.69000000003,220141.57522337395,244265.80477662612
local_exp_open5_conf06,gemma2_9b,10000000.0,3,0.6213283147571501,0.5656726913005515,0.6769839382137487,396838.5283333333,328514.94159717095,465162.1150694957,396838.5283333333,328514.94159717095,465162.1150694957
local_exp_open5_conf06,gemma2_9b,50000000.0,3,0.5100000000000001,0.4884867363512528,0.5315132636487474,1341182.4083333332,1037746.1518976954,1644618.664768971,1341182.4083333332,1037746.1518976954,1644618.664768971
local_exp_open5_conf06,llama3.1_8b,100000.0,3,0.5718396942518941,0.47978527165889595,0.6638941168448922,11132.078333333333,9246.968399652513,13017.188267014153,11132.078333333333,9246.968399652513,13017.188267014153
local_exp_open5_conf06,llama3.1_8b,500000.0,3,0.5794336472891607,0.5437320585582269,0.6151352360200945,28334.278333333332,23363.38034782791,33305.176318838756,28334.278333333332,23363.38034782791,33305.176318838756
local_exp_open5_conf06,llama3.1_8b,1000000.0,3,0.5804304017182657,0.5496416631378153,0.611219140298716,56987.216666666674,46434.54069203939,67539.89264129396,56987.216666666674,46434.54069203939,67539.89264129396
local_exp_open5_conf06,llama3.1_8b,5000000.0,3,0.6394037584480209,0.5829136318142424,0.6958938850817994,232386.92666666667,194293.7503488612,270480.1029844721,232386.92666666667,194293.7503488612,270480.1029844721
local_exp_open5_conf06,llama3.1_8b,10000000.0,3,0.6433557085433154,0.6136176412846095,0.6730937758020212,407258.30000000005,346027.3737543215,468489.2262456786,407258.30000000005,346027.3737543215,468489.2262456786
local_exp_open5_conf06,llama3.1_8b,50000000.0,3,0.5041666666666665,0.5005811227252086,0.5077522106081245,1766782.0833333333,1513440.1507766345,2020124.015890032,1766782.0833333333,1513440.1507766345,2020124.015890032
local_exp_open5_conf06,llama3.2_3b,100000.0,3,0.55448646547356,0.4503900158814656,0.6585829150656544,10652.29,8400.213803811308,12904.366196188694,10652.29,8400.213803811308,12904.366196188694
local_exp_open5_conf06,llama3.2_3b,500000.0,3,0.5643568977297814,0.46209032155875285,0.6666234739008099,29450.518333333337,16748.00961997685,42153.02704668982,29450.518333333337,16748.00961997685,42153.02704668982
local_exp_open5_conf06,llama3.2_3b,1000000.0,3,0.5916564140924224,0.5554767760190977,0.6278360521657471,55543.80333333334,44898.75390623943,66188.85276042724,55543.80333333334,44898.75390623942,66188.85276042725
local_exp_open5_conf06,llama3.2_3b,5000000.0,3,0.615,0.5450129743403554,0.6849870256596445,236385.72833333336,199410.24229330057,273361.21437336615,236385.72833333336,199410.2422933006,273361.21437336615
local_exp_open5_conf06,llama3.2_3b,10000000.0,3,0.6025,0.4756811811263296,0.7293188188736704,452599.7833333334,365623.8190708542,539575.7475958125,452599.7833333334,365623.8190708542,539575.7475958125
local_exp_open5_conf06,llama3.2_3b,50000000.0,3,0.5141666666666667,0.4762208363306991,0.5521124970026342,1660689.2616666667,1320390.8636316028,2000987.6597017306,1660689.2616666667,1320390.8636316028,2000987.6597017306
local_exp_open5_conf06,mistral_7b,100000.0,3,0.5096661743327066,0.39926711506595863,0.6200652335994545,10171.766666666668,7641.077382323562,12702.455951009775,10171.766666666668,7641.077382323562,12702.455951009775
local_exp_open5_conf06,mistral_7b,500000.0,3,0.5810583256237108,0.5483929752548043,0.6137236759926173,27413.961666666666,19275.622374293147,35552.300959040185,27413.961666666666,19275.622374293147,35552.300959040185
local_exp_open5_conf06,mistral_7b,1000000.0,3,0.5892865706812158,0.4684454044900046,0.710127736872427,51380.14833333334,40793.607594996094,61966.68907167058,51380.14833333334,40793.60759499609,61966.68907167059
local_exp_open5_conf06,mistral_7b,5000000.0,3,0.5996955701662064,0.5372629327882454,0.6621282075441675,218148.6366666667,172550.02281903243,263747.25051430095,218148.6366666667,172550.02281903246,263747.2505143009
local_exp_open5_conf06,mistral_7b,10000000.0,3,0.5675216360450245,0.5568112469833468,0.5782320251067021,424190.87833333336,396783.62193441443,451598.1347322523,424190.87833333336,396783.62193441443,451598.1347322523
local_exp_open5_conf06,mistral_7b,50000000.0,3,0.5075651478420308,0.48523910282727517,0.5298911928567864,1674410.1066666667,1463770.2899479112,1885049.9233854222,1674410.1066666667,1463770.2899479112,1885049.9233854222
local_exp_open5_conf06,qwen2.5_7b,100000.0,3,0.552221267314557,0.5107109182439289,0.5937316163851851,11668.601666666667,8874.752593815392,14462.450739517943,11668.601666666667,8874.752593815392,14462.450739517943
local_exp_open5_conf06,qwen2.5_7b,500000.0,3,0.5495886910378985,0.5040620020157519,0.5951153800600452,29051.128333333338,23690.417040481436,34411.83962618524,29051.128333333338,23690.417040481436,34411.83962618524
local_exp_open5_conf06,qwen2.5_7b,1000000.0,3,0.5989252677150536,0.5371080093902607,0.6607425260398465,55014.64166666667,48164.37615962536,61864.90717370798,55014.64166666667,48164.37615962536,61864.90717370798
local_exp_open5_conf06,qwen2.5_7b,5000000.0,3,0.5933648368597387,0.5336866412256908,0.6530430324937867,252743.03166666665,216958.67021333374,288527.39311999956,252743.03166666665,216958.6702133337,288527.3931199996
local_exp_open5_conf06,qwen2.5_7b,10000000.0,3,0.6029967583166546,0.5681093163268933,0.6378842003064158,472223.06833333336,383832.23156301427,560613.9051036525,472223.06833333336,383832.23156301427,560613.9051036525
local_exp_open5_conf06,qwen2.5_7b,50000000.0,3,0.5267484307125401,0.477243836934674,0.5762530244904062,1808964.2133333336,1538866.595955866,2079061.8307108013,1808964.2133333336,1538866.595955866,2079061.8307108013
local_halfnormal_open5_conf02,gemma2_9b,100000.0,3,0.49997505257712044,0.3508387334602263,0.6491113716940146,9290.101666666667,4722.494056413102,13857.709276920232,9290.101666666667,4722.494056413102,13857.709276920232
local_halfnormal_open5_conf02,gemma2_9b,500000.0,3,0.4841000249906342,0.325402780240153,0.6427972697411154,33713.329999999994,10790.365021816622,56636.29497818337,33713.329999999994,10790.365021816622,56636.29497818337
local_halfnormal_open5_conf02,gemma2_9b,1000000.0,3,0.5149207098855629,0.35324097237885654,0.6766004473922693,68113.08499999999,27303.06612293319,108923.1038770668,68113.08499999999,27303.06612293319,108923.1038770668
local_halfnormal_open5_conf02,gemma2_9b,5000000.0,3,0.6133333333333334,0.5839843912934505,0.6426822753732163,287939.1066666667,247184.63198473587,328693.58134859754,287939.1066666667,247184.63198473587,328693.58134859754
local_halfnormal_open5_conf02,gemma2_9b,10000000.0,3,0.6291691910024843,0.5985279327532153,0.6598104492517533,458558.7783333333,417638.2995316733,499479.2571349933,458558.7783333333,417638.2995316733,499479.2571349933
local_halfnormal_open5_conf02,gemma2_9b,50000000.0,3,0.5116666666666667,0.4858109416039554,0.5375223917293781,1343321.11,1031353.4296485991,1655288.790351401,1343321.11,1031353.4296485991,1655288.790351401
local_halfnormal_open5_conf02,llama3.1_8b,100000.0,3,0.5102647932402087,0.3257259306045881,0.6948036558758293,14294.788333333336,6802.0470673430555,21787.529599323614,14294.788333333336,6802.0470673430555,21787.529599323614
local_halfnormal_open5_conf02,llama3.1_8b,500000.0,3,0.46513136475501304,0.34368090102096566,0.5865818284890604,48797.63999999999,2745.9287240567355,94849.35127594325,48797.63999999999,2745.9287240567355,94849.35127594325
